ID,canonical smiles,solubility_CO2 [mol/L]
zinc_122275901,OC[C@H](CN(CC(F)F)C)O,0.0736357401675501
zinc_2509976,CCC(OC=O)CC,0.1669544725203252
zinc_53172304,COC[C@@H](NCCCN(C)C)C,0.1185993290517438
zinc_880233884,COC[C@H](N1CCC[C@@H](C1)CF)C,0.1059507871624853
zinc_308043028,O[C@H](CN1CCC1)CCC(C)C,0.0770749555529782
zinc_48347150,COCCCN(CCO)C,0.1064217651670447
zinc_87978836,CCOCCN(CCC#C)C,0.1151942112408323
zinc_123446735,C[C@@H]1C[C@@H](C1)NCCOC(F)(F)F,0.0813780542562506
zinc_238238950,CCCCCCN([C@H](CO)CC)C,0.0617614598748316
12978171,S[C@H]1CCCO1,0.2006248864125605
zinc_41049679,OC[C@H](C(C)C)NCC1CC1,0.0764544046066761
zinc_39017082,OCCCC1COC1,0.1350436323050783
zinc_47848370,N#CCN(C1CC1)CC(C)C,0.1198514917913855
zinc_929461656,C[C@@H]1C[C@@H](C1)CN1CC[C@H](C1)C,0.0833482467076397
zinc_1690416,CN1CCC(CC1)O,0.1324695785439236
zinc_233726233,CCOC[C@H](C(C)C)NCC1CCC1,0.0868600948265493
zinc_322722203,COC[C@H](N[C@H](C1CCC1)CC)CC,0.0803497353008443
zinc_33611208,CO[C@H](C(=O)N(CC)CC)C,0.1504321148897022
zinc_679149576,CO[C@@H]([C@@H](NC1(C)CCC1)C)C,0.1107751335373443
zinc_160648278,N#CCN(C(C)C)C[C@H](OC)C,0.1264719122531362
zinc_1754575,COC1CN(C1)C(C)(C)C,0.1426435014948467
zinc_82487786,CCNC1COC1,0.1673891730929656
zinc_230690045,C[C@H](CNCC(C(F)F)(F)F)O,0.0913559254176762
zinc_306292918,CCC[C@H](N1CCO[C@H](C1)C)C,0.1143738276592207
zinc_679853558,COC[C@H]1CCN(C1)C[C@H](OC)C,0.1179474279369233
zinc_379327903,COCCN(CCC(=C)C)CC,0.10455134951356
zinc_886164345,C=CCCN(C[C@@](C(F)F)(O)C)C,0.0841363199230092
zinc_32155858,C[C@@H](C(=S)O)N,0.017455137326782
zinc_63099779,FC(CCNC1CCC1)(F)F,0.1034765001487409
zinc_159221109,OC[C@H](N(CC(=C)CC)C)C,0.1203416025904673
zinc_656657903,CCOC1CN(C1)CCCC(C)C,0.1040831503940229
zinc_663377167,FCCOCCNC[C@@H](O)C,0.0956126858968051
524394,Cl[C@H]1COCC1,0.2004624995717606
zinc_39259324,COCC[C@H](O)C,0.1367643568344248
zinc_235549491,OC[C@H](N(C[C@@H](O)C)C)C,0.1142659226066993
zinc_44688899,CCOC[C@@H](N[C@H](C(C)C)C)C,0.0896622254720365
zinc_307875793,OCCCC[C@H](NC(C)C)C,0.0786695424299956
zinc_197992345,CCO[C@@H](C(C)C)CO,0.1010253327126022
zinc_132004387,CO[C@H]([C@@H](NCCCN(C)C)C)C,0.101656340780813
zinc_70591590,C=CCCCN[C@H](CO)CC,0.0793764548239617
zinc_388677110,FCCCCCN(CC[C@H](O)C)C,0.0846762754819272
zinc_5965092,CN(P(N(C)C)C)C,0.1188182389610174
zinc_379354012,OC[C@H](N(CCC(F)(F)F)CC)C,0.0805704157301069
21590583,CN(P(=O)(N(C)C)C#C)C,0.130944416654473
