# ,solvent,species_id,species,diffusion (m2/s),std,R2
1,acn,1,TBA+,2.59e-09,1.17e-11,0.9967546800822422
,acn,2,Solvent,5.37e-09,1.19e-12,0.991456277
,acn,3,BF4-,3.8e-09,8.09e-12,0.9924356524126552
,acn,4,CO2,7.64e-09,1.24e-11,0.9951122319292204
2,ae,1,TBA+,1.6696528154079083e-10,1.590884087890421e-14,0.9821663687482064
,ae,2,Solvent,5.929463170564224e-10,4.8252131693460244e-15,0.9998675735500026
,ae,3,BF4-,5.218110617561228e-10,4.6019317624945056e-14,0.9846827739157412
,ae,4,CO2,7.60531747023942e-10,6.569963396798327e-14,0.9852942509966696
3,amp,1,TBA+,6.189657964446762e-11,5.787016750604141e-15,0.9828177838136158
,amp,2,Solvent,1.3099481702642882e-10,1.270626504946636e-15,0.9998118622801077
,amp,3,BF4-,2.1801609495273822e-10,1.4096704701299881e-14,0.9917077612204156
,amp,4,CO2,6.139383084521763e-10,4.5755411776148265e-14,0.9890132917095846
4,bae,1,TBA+,1.2811066709542967e-10,5.9342463209909225e-15,0.9957270201860048
,bae,2,Solvent,2.9366035578268835e-10,3.572192165771866e-15,0.999704144
,bae,3,BF4-,2.571690564332789e-10,1.1078749717385724e-14,0.9963020155196094
,bae,4,CO2,1.3179272840029519e-09,6.441957061099845e-14,0.9952443218227977
5,dea,1,TBA+,9.063640156218482e-11,5.227654758849241e-15,0.993390653
,dea,2,Solvent,1.6434868329952748e-10,3.058536041297413e-15,0.9993078120650069
,dea,3,BF4-,2.2051994000539327e-10,5.825018788147681e-15,0.9986064476399528
,dea,4,CO2,5.149480154542038e-10,2.4698054906523133e-14,0.995420319
6,degme,1,TBA+,4.762246592283111e-10,3.625041060869036e-14,0.9885441278730228
,degme,2,Solvent,7.84812901001386e-10,7.300629362499447e-15,0.999826961
,degme,3,BF4-,9.288380152769895e-10,6.642128634861984e-14,0.9898761556535176
,degme,4,CO2,2.3656256763331886e-09,1.0861428647636929e-13,0.995801592
7,dmf,1,TBA+,3.5577918537067827e-10,2.4249710727040592e-14,0.9907941166698966
,dmf,2,Solvent,1.6770419967677579e-09,1.427651395447313e-14,0.9998550816017144
,dmf,3,BF4-,3.419343134109684e-10,2.123578704925069e-14,0.9923450202891612
,dmf,4,CO2,3.4197157944336917e-09,1.258556642118766e-13,0.9972984026435204
8,dmso,1,TBA+,3.3752334762316224e-10,2.288448036493576e-14,0.99088976
,dmso,2,Solvent,7.708160062198483e-10,3.770056022010073e-15,0.999952159
,dmso,3,BF4-,7.303261906321449e-10,2.4929771212320573e-14,0.9976750055381935
,dmso,4,CO2,1.14114501327337e-09,5.949624434395264e-14,0.9945927962373357
9,egme,1,TBA+,6.955054399147785e-10,4.572939944732108e-14,0.9914280206071991
,egme,2,Solvent,1.976562545889681e-09,8.757076504580047e-15,0.999960744
,egme,3,BF4-,2.085984861550033e-09,1.439567596660597e-13,0.9905647225961812
,egme,4,CO2,4.105482386005478e-09,1.7292498490386125e-13,0.9964642721123156
10,etg,1,TBA+,1.7400895938499318e-10,1.882439250284044e-14,0.9771292334041524
,etg,2,Solvent,6.74870442536068e-10,6.207447881698663e-15,0.9998308227874074
,etg,3,BF4-,7.407041380056886e-10,3.708061813878132e-14,0.9950127283899936
,etg,4,CO2,1.1448741920767247e-09,8.011099475836201e-14,0.9903023496156136
11,gbl,1,TBA+,2.813921507044961e-10,1.2930081632757846e-14,0.9957948793552688
,gbl,2,Solvent,6.443409798237076e-10,3.4883174192875106e-15,0.9999413855052268
,gbl,3,BF4-,5.721475170675501e-10,4.9673248727863997e-14,0.9851488210317844
,gbl,4,CO2,1.3004490520135478e-09,1.1168852525051137e-13,0.9854621437757198
12,ipmea,1,TBA+,3.5434919033896345e-10,2.248891426216394e-14,0.9920086611233871
,ipmea,2,Solvent,7.217894642156884e-10,7.669960003112514e-15,0.999774214
,ipmea,3,BF4-,7.289887192347451e-10,3.7496272463728135e-14,0.9947365241224212
,ipmea,4,CO2,1.94546904134536e-09,2.377586869365104e-13,0.9709951129461962
13,mdea,1,TBA+,1.6433088277569906e-10,1.1150120284110818e-14,0.9908763173111282
,mdea,2,Solvent,4.402339891595313e-10,1.78568169112641e-15,0.9999670953969144
,mdea,3,BF4-,4.2449807555128045e-10,3.258402716872025e-14,0.988353369
,mdea,4,CO2,1.4480909935866435e-09,7.473642798128234e-14,0.9947009805846372
14,mea,1,TBA+,2.2576913958448702e-10,7.106528895807631e-15,0.9980223194323872
,mea,2,Solvent,6.222883229558037e-10,2.001284266031721e-15,0.9999793150121158
,mea,3,BF4-,7.18477266647505e-10,4.059820122643685e-14,0.9936546876868728
,mea,4,CO2,1.4717739611895875e-09,1.3064000840693296e-13,0.9844864950762195
15,meoh,1,TBA+,9.66054059881391e-10,7.317223184098987e-14,0.9886560328562004
,meoh,2,Solvent,2.8036781058223587e-09,9.966727984590075e-15,0.999974726
,meoh,3,BF4-,1.898991865467369e-09,6.931795953614695e-14,0.997342217
,meoh,4,CO2,4.077496014717558e-09,1.6756192653362097e-13,0.9966338827220396
16,pc,1,TBA+,1.3016077315806382e-10,9.943281182152535e-15,0.9884630860514116
,pc,2,Solvent,4.429687472544399e-10,3.104368085766277e-15,0.9999017827917726
,pc,3,BF4-,3.8671210938450167e-10,2.5679819931461753e-14,0.9912577145891832
,pc,4,CO2,1.008181483278693e-09,7.163826896357583e-14,0.9900027824295308
17,prp,1,TBA+,4.151458123433322e-10,2.4995344538611863e-14,0.992802037
,prp,2,Solvent,1.0749845975067514e-09,6.8199338688609e-15,0.9999195083406232
,prp,3,BF4-,6.935308692912386e-10,3.6960053757270444e-14,0.9943518829063972
,prp,4,CO2,3.102206105151906e-09,1.482257552063352e-13,0.9954547521824948
18,tbae,1,TBA+,5.5175037214320566e-11,4.233174721018175e-15,0.9883642563356212
,tbae,2,Solvent,1.256482258237375e-10,1.4832622533761146e-15,0.9997213672646972
