r ($\AA$),C_CO₂ - BF₄⁻,C_CO₂ - Solvent,C_CO₂ - TBA⁺,O_CO₂ - BF₄⁻,O_CO₂ - Solvent,O_CO₂ - TBA⁺
0.25,0,0,0,0,0,0
0.75,0,0,0,0,0,0
1.25,0,0,0,0,0,0
1.75,0,0,0,0,0,0
2.25,0,0,0,0,0,0
2.75,0,0.0018706,0,0,0.044426761,0
3.25,0.064001785,0.205073783,0,0.032000893,0.4510282869894927,0
3.75,0.9138243051626926,0.8017681420881821,0,0.7935842650097068,0.8647210426918399,0.024048008
4.25,1.6106624364824853,1.1076368490506605,0.037457266,1.292275676,1.1856891624221484,0.3371153936823805
4.75,0.8998036953145951,1.3435812246268182,0.3899149346363245,1.184741532164216,1.29757032,0.719842956
5.25,0.6384709805827429,1.523536270621325,1.1050459279316691,0.748975573,1.3589686397018923,0.8717584542572056
5.75,0.6961201720091253,1.3866662373129106,1.2489214850751955,0.6756460493029746,1.2238380049011666,1.0032320126013865
6.25,0.7625628474009405,1.086134850474685,0.9532035592511756,0.736566387,1.0221645021384569,0.7538973604986577
6.75,0.8321402120715597,0.8338517944075347,1.010455972,0.720692862,0.903170879,1.173912084886666
7.25,0.6698380176636708,0.7773412194514144,0.9403495247970756,0.8566197725891173,0.8644768133722232,1.101368279043151
7.75,0.9469778696320592,0.8421515983489279,1.2288165213082676,0.9357043235650097,0.8995227333079393,1.0484397842354918
8.25,1.1142734296282562,0.9255053430083616,1.0645290800912803,1.1043245597208609,0.9608212267634086,1.019759165508002
8.75,1.1674928468913202,1.024867193693428,0.9109982062864088,1.1498035613323636,1.0265805538130124,0.9640660629632894
9.25,1.2584109518796007,1.0818463937460134,0.9339150460490124,1.0209749232230736,1.040201854688455,0.9418295803375636
9.75,1.0258235292420927,1.0791585949349427,0.8263578430005736,1.0934993870740353,1.0436889113867591,0.926090686
10.25,0.9024200951688016,1.0490886715937675,0.9346493842819732,1.124802190049685,1.0295486104455724,0.8927513084348503
10.75,0.9435072105328326,1.009565908600445,1.0314116090296803,0.8790439849684777,1.0069272425373632,0.964018237
11.25,1.0059951430521827,0.9579758806262216,0.931080611,0.9952930670622688,0.9848711501296769,1.0621810419992483
11.75,1.035036714982578,0.972499448,1.1086175241045624,0.9761720676849908,0.980769263,1.0718271195435705
12.25,1.033516889275003,0.97758661,1.083161805353715,1.0899315666371756,0.988621439,0.936483644
12.75,1.0373800368380937,1.0046831198461397,0.9540563391000942,0.9811365408649414,1.00012431,1.095706625
13.25,1.0300125926574608,1.015288605363164,1.003008517194531,1.1168114066454489,1.0056543914545493,1.012652829859863
13.75,0.9672195737647868,1.0118200807729807,1.049612352270676,1.022745141888321,1.009588179875599,0.9600549843294924
14.25,1.080650576711842,0.9999737351306774,1.043961822564217,0.998934715,1.0034837016150522,1.065641540924177
14.75,1.0802354155023437,1.0075590765352058,1.0366524304388485,0.9697214176627662,0.9955142650311218,1.0568873877897564
15.25,1.0076554794562078,0.988199492,0.9494094979847516,1.048427666486227,0.9924535832449414,0.94212875
15.75,0.9665408991860984,0.9876402923176808,0.9911139728942192,0.999304997,1.0024498934588146,1.0266084126948387
16.25,0.979798866,1.002171400689439,1.0567464204193238,1.0246849392172812,0.9951078031555022,1.0016006727518103
16.75,1.0525413862349369,0.9971058883720928,0.997017414,1.005466714144156,1.0020351734077764,1.0706470293467771
17.25,1.0174509496809865,1.0044970021037325,1.0379365392718785,1.0572840405521684,0.9984192530104484,0.994689183
17.75,1.1307715556053437,1.0031593495112094,1.0039359628663411,1.0501557127627572,0.9969914637342142,1.0071605965800443
18.25,1.037126751141941,1.006165201071921,1.0391603330069257,1.0452610786018783,1.0059735546134403,1.0106901868971463
18.75,1.0114527198458096,0.9962519295311008,1.0153058730642697,1.1010385321750098,1.002959643903552,1.0085628549319652
19.25,1.0144290142702308,1.0019406423668065,0.968734014,0.9541116134217328,0.9981223585434604,1.0235680143987929
19.75,1.040121299271687,0.9946923021433076,1.0453305879157844,0.985423769,0.9966923780625094,1.046198802689802
