r ($\AA$),C_CO₂ - BF₄⁻,C_CO₂ - Solvent,C_CO₂ - TBA⁺,O_CO₂ - BF₄⁻,O_CO₂ - Solvent,O_CO₂ - TBA⁺
0.25,0,0,0,0,0,0
0.75,0,0,0,0,0,0
1.25,0,0,0,0,0,0
1.75,0,0,0,0,0,0
2.25,0,0,0,0,0,0
2.75,0,0,0,0,0.000695424,0
3.25,0,0.002989775,0,0.063183904,0.1066352957959369,0
3.75,0.9021465143562876,0.2126926864329949,0,0.8071837233714152,0.4763117907443118,0.023740698
4.25,1.3682081383143003,0.8107295218078603,0,1.1833151466502057,0.9116332680472556,0.4992110774930554
4.75,1.2436271040786422,1.2581986699668997,0.8586949051971575,1.273237273,1.0872629932007951,1.1399915120720872
5.25,0.630311939,1.3299107763175857,1.187895577259408,0.7151616230439293,1.3079240397913474,1.018196209079493
5.75,0.6063744965910609,1.5184867125463852,1.6169986575761632,0.6265869798107627,1.526138125752582,1.0510491274245064
6.25,0.4961755209134963,1.5401249308459266,1.1805555497596982,0.6416062770433143,1.3804992261682738,1.052234294351033
6.75,0.7774970007783369,1.234434408413914,1.0122130764850046,0.8068365102416701,1.1100654309963918,1.224924520094172
7.25,0.9664834290092704,0.933908942,0.9410496545616582,0.8520314439950141,0.937318833,1.1635951809782652
7.75,0.890358484,0.7708131119508818,1.0350417378011367,1.040606478326948,0.8848288523772314,1.062865440430198
8.25,1.2571818204313074,0.7834148839118117,1.1786079566543508,1.1933405561125308,0.8614155550705231,0.9969058966701392
8.75,1.3097425198403216,0.8727485119062169,1.0565256326711934,1.196231501454162,0.9091761561225968,1.0346965906738557
9.25,1.2970234363630042,0.9754418778090124,0.96886088,1.2618631624856935,0.9730387045156108,0.957140789
9.75,1.1815002461185338,1.0508066538494143,1.0267799757934877,1.1709511367781875,1.0216329865885254,1.009198126892913
10.25,0.999067301,1.083900398223786,0.9736133570562442,1.0595204179729725,1.0483692619175335,1.0372482169945614
10.75,1.070299805386458,1.0452053858723236,1.0008749531451744,0.992196847,1.050726158165433,1.1107976358605385
11.25,0.8346597909407691,1.0332010349863805,1.072379351651748,1.0116287972478328,1.0127036596148768,1.003704812
11.75,0.9055851187371502,0.9920662900992024,1.0508661538286717,0.8474727047005415,0.992448207,1.038759400904378
12.25,1.0069430424420351,0.9836535666969936,1.109419546761358,1.042587043944408,0.9789802108217792,1.0225372930993228
12.75,1.0817045543066688,0.9639471742238184,0.9171867513702928,1.0364621584991665,0.9762730348539094,1.0261797958156422
13.25,1.0587427256884854,0.9594352866745608,1.0892101422550609,1.051125871546842,0.9861963948772604,1.0149458143740338
13.75,1.2024155949737267,0.9912286659251768,0.951322927,1.075101002564744,0.98924844,1.0361993215508882
14.25,1.0207428435981667,1.0019940816902122,1.1096462525567168,1.106353534,1.0013968219618414,0.9960474522207916
14.75,0.998818708,1.0139427770889455,0.9373529416536264,1.0326248799856363,1.0087075225148858,1.0126485058192467
15.25,1.0149041959484992,1.013353284,1.0264045267807769,1.024966985426745,1.0059841838242525,0.9574025417871138
15.75,1.0188802508726278,1.010368749769999,0.9973166476795562,1.0175325256730612,1.0037151537532083,0.9892302964821548
16.25,1.012856527386773,0.9969607506557034,0.9900672555205708,1.0115904567275398,1.0089025527727624,1.0343797285937426
16.75,1.0962885909064413,1.003853614735856,0.9509111908079778,1.0450490154619003,0.9967866055776332,0.985468114
17.25,1.0448965177185907,1.0034281507795226,1.0111901784373458,1.0415258837904662,0.9988914405502908,1.0527613302175474
17.75,1.0271854603806665,0.9921510369757368,1.0484083004711755,1.0155128983308856,0.9966868332411366,0.9815563541860703
18.25,0.9776985972514322,0.9961659348399976,1.114215033828634,1.0007859357902231,0.9977333786168054,1.0790821273565594
18.75,0.9262529730300956,0.9942974283454844,0.9776058072637966,0.9956743970867664,1.002007253323905,1.0251547278505584
19.25,1.024923345201242,1.0077270650114527,1.0628166378935415,1.036652221510766,0.9984629319399928,1.0727410716939076
19.75,1.0782567447642504,1.001234929476466,1.0302580343454917,1.0174012369118963,1.0061694521507696,1.0414005921212754
