r ($\AA$),C_CO_ - Solvent,O_CO_ - Solvent
0.25,0,0
0.75,0,0
1.25,0,0
1.75,0,0
2.25,0,0
2.75,0.042298953,0.001879953
3.25,0.4579981149013655,0.2034050451473713
3.75,0.8670200826218851,0.808813831
4.25,1.1829455647737384,1.0934658436129123
4.75,1.290643559054829,1.371131235151425
5.25,1.3665387507241855,1.517457553754238
5.75,1.228125779,1.3789482434132094
6.25,1.0085810111513178,1.070591416900223
6.75,0.914645483,0.859444618
7.25,0.8626990314405262,0.772416575
7.75,0.9018848658398944,0.8482605617936383
8.25,0.954317999,0.9205006968266736
8.75,1.019287659617514,1.002254544677325
9.25,1.0286201147217011,1.068598872216957
9.75,1.0303529071286217,1.0798314373021445
10.25,1.0373757717272662,1.0459906100852967
10.75,1.017758966726313,1.0204108261197105
11.25,0.983770125,0.9633851917051036
11.75,0.9884090827364206,0.9772070787173152
12.25,0.9856091908212838,0.9835194257674986
12.75,1.0003679556776817,1.0021655226752184
13.25,1.003557889559971,1.0013656514517084
13.75,1.0046648690725497,1.0132601257385354
14.25,1.0005510460360187,0.994794701
14.75,0.989598942,0.999132272
15.25,0.9858769715359698,0.9830573781082992
15.75,1.003238404654706,0.9982388777212108
16.25,0.9958455865176972,0.9904471716723692
16.75,1.0051653957973603,1.0055718722249185
17.25,0.9939257705141472,1.0009680941400003
17.75,0.993424895,1.006003330128238
18.25,1.0073439332618284,1.0015443920174538
18.75,1.0117759005503115,0.9984353157763024
19.25,0.9980445574219468,1.0029494731453956
19.75,0.9951156818503862,0.9993733889196548
