r ($\AA$),C_CO_ - Solvent,O_CO_ - Solvent
0.25,0,0
0.75,0,0
1.25,0,0
1.75,0,0
2.25,0,0
2.75,0.003874338,0
3.25,0.1876643685066608,0.049969802
3.75,0.6817641963475585,0.5382348918533356
4.25,1.5665571389369235,1.223740756116254
4.75,1.837239453538752,1.8739269996298111
5.25,1.3478410622444872,1.845266205336137
5.75,1.045083520823599,1.2656806882034266
6.25,0.9038887302688562,0.8425469801108909
6.75,0.8235963328722029,0.6739335777517418
7.25,0.7910635893605941,0.7111638201286646
7.75,0.8762773523422415,0.8023414507383646
8.25,0.988216891,0.9609438305354832
8.75,1.0515559156748098,1.0767993958832751
9.25,1.1169469911560286,1.1597902984145336
9.75,1.0956388868773186,1.1427917139226904
10.25,1.0644043407941115,1.077545135124903
10.75,1.0016701656788003,1.020632911037283
11.25,0.9491627054210242,0.953201301
11.75,0.9384136532073508,0.8992634373107993
12.25,0.9591482967366498,0.9300974339650512
12.75,0.9855548170269732,0.9845067004956084
13.25,1.0098042467986923,1.004918205172372
13.75,1.0351324922543916,1.0479049998144072
14.25,1.0302933448229317,1.0484062305188184
14.75,1.0280954555877262,1.019804580995133
15.25,1.004815756647379,1.0147194018401222
15.75,0.9944764639030638,0.9873706919988352
16.25,0.9809509667881442,0.9866026826517788
16.75,0.9879560722557076,0.9749089788160612
17.25,0.984969653,0.9883264723776796
17.75,1.005009920351244,0.9985945666195528
18.25,1.0123908609470798,1.009903414114286
18.75,1.0092927534204168,1.017766340099848
19.25,1.007350411796782,1.010077694510917
19.75,1.0011150805131852,1.005498602510647
