r ($\AA$),C_CO_ - Solvent,O_CO_ - Solvent
0.25,0,0
0.75,0,0
1.25,0,0
1.75,0,0
2.25,0,0
2.75,0.008596478,0
3.25,0.2689727279310145,0.024638723
3.75,0.7799650243497553,0.5130333740777321
4.25,1.4455947636411972,1.361478692606382
4.75,1.739681752531134,1.847449648705628
5.25,1.3928198251589734,1.8135018311741835
5.75,1.0432034872676188,1.2571644732442766
6.25,0.8570602619414154,0.7516999507913034
6.75,0.7844246511008204,0.6187682753745759
7.25,0.7736012415677416,0.6620241394185479
7.75,0.8971982302091849,0.8368907405841193
8.25,1.013037538971811,1.0202188069701932
8.75,1.0729741676999858,1.1134075456974069
9.25,1.0990252013340065,1.1449818979821422
9.75,1.0698351519267069,1.1207415936018303
10.25,1.0370941223614756,1.0595823304880516
10.75,0.9863094497230376,0.9936885578291376
11.25,0.9449753918957228,0.914290193
11.75,0.945077309,0.9006993548340901
12.25,0.9565657646633768,0.9392276255906956
12.75,0.9910142885119164,0.9760784043969822
13.25,1.023454449,1.027940705575257
13.75,1.027409780810442,1.060565007
14.25,1.0215857133505175,1.051652808
14.75,1.019095517179919,1.006237291652623
15.25,0.9897381423764624,0.997119019
15.75,0.9795135637992038,0.973447854
16.25,0.985542934,0.971780838
16.75,0.9940161248496526,0.975932544
17.25,0.9932568648623118,0.997838965
17.75,1.0017287459720134,1.0085218806693108
18.25,1.0020692615446094,1.0109743692399764
18.75,1.0158755119335483,1.0188731064535963
19.25,1.0054381486733353,1.0060978176585702
19.75,0.9988087110293064,1.006189756997593
