r ($\AA$),C_CO₂ - BF₄⁻,C_CO₂ - Solvent,C_CO₂ - TBA⁺,O_CO₂ - BF₄⁻,O_CO₂ - Solvent,O_CO₂ - TBA⁺
0.25,0,0,0,0,0,0
0.75,0,0,0,0,0,0
1.25,0,0,0,0,0,0
1.75,0,0,0,0,0,0
2.25,0,0,0,0,0,0
2.75,0,0,0,0,0.003855062,0
3.25,0,0.052483485,0,0.062897313,0.2019233026853443,0
3.75,0.945320567,0.5384632301544805,0,0.898054538,0.6692388026283904,0.023633014
4.25,1.4356239298117957,1.207629331857496,0,1.085920665,1.5526200941311097,0.2024597849734585
4.75,0.8842758806958837,1.8938597766916667,0.4716138030378046,0.8842758806958837,1.8438919110865435,0.7516344985915012
5.25,0.651585762,1.8324822832421688,0.5791873442141013,0.820515404,1.345586759285286,0.796382598
5.75,0.4627784688813974,1.2632718472300428,1.1066441647163867,0.5432616808607715,1.0420932354773291,0.7042281048195188
6.25,0.4257973768098517,0.8275840451513756,1.0559774944884317,0.4343133243460486,0.8998405697009256,0.8004990684025208
6.75,0.5111125367702898,0.6884098086068503,0.8031768434961698,0.6133350441243482,0.8317483517628329,0.9711138198635504
7.25,0.7722115469510651,0.7089599953001146,0.987418044,0.7089155185124524,0.7983583384966773,0.8481667810773982
7.75,0.7755299795099823,0.8143089112917418,0.720134981,0.7367534805344838,0.8731341666545357,0.886319977
8.25,0.7235115671756526,0.9677565134900632,0.8506149505984024,0.9043894589695668,0.981754589,0.8652807256087213
8.75,0.8692011739883365,1.0774735325865097,0.9908893383467036,0.8387791328987458,1.0635785291902966,0.9517752855172305
9.25,1.0266899319783578,1.145822090412757,0.9022426674961324,0.9411324376468264,1.113917790614119,0.8361300582399492
9.75,1.127135289238741,1.1392583956620572,0.8961075591463282,1.0221226846512796,1.1020866085309668,0.8576029374642589
10.25,0.9375241084575856,1.0910461989308375,0.7411508154698486,0.899516374,1.0609449192316391,0.829835528
10.75,0.8869110695737091,1.0261275114956845,0.9617801858364248,0.9531414416522652,1.0033387294434877,0.9963351625730628
11.25,0.8992369670249728,0.9391748787400446,0.8992369670249726,0.9623413155881269,0.9502142136153152,0.9018663148817696
11.75,0.8436287194126378,0.9059256641863818,0.9207604880446504,0.8653220293403913,0.9357773862359908,0.9231708558144004
12.25,0.9314110747807276,0.9312357668426924,0.971328692,0.8981463935385603,0.956441153,0.9358463656130184
12.75,0.8925551081454205,0.9728118130020496,0.9457808714751936,0.8618479369936286,0.9837443031559298,0.8905079634019676
13.25,0.962952792,1.009408981249014,0.879547432,1.0008643190714497,1.0142540644401106,0.99517759
13.75,0.9822126496773178,1.0507621972785353,0.9646102724429576,0.9487681329320332,1.0337859915663452,0.8660369599305382
14.25,1.0128351521487169,1.0489195628220906,0.9898906665013352,1.0521685561156582,1.0329265120947924,0.914501642
14.75,1.0248817289541134,1.0288654655102656,0.9331012756149388,0.9086264880578258,1.0299000277862316,1.0264114031764326
15.25,0.9129913485044606,1.0100732659265197,0.9387497251080344,0.9602150389443468,1.004731290590298,0.9645081017116102
15.75,0.8988801458848487,0.9886568013614015,0.936445286,0.9364452863098855,0.9910843121611876,0.9605943051545544
16.25,0.9351633672141016,0.9807200450329135,0.9175187753798738,0.9376840231904215,0.9785392403454534,0.9339030392259436
16.75,0.8944046520449106,0.974434702,0.970322288,0.9560877314962848,0.984468283,0.9228737656378522
17.25,1.0110773936171034,0.9849419501289416,1.0244987749483037,0.9551549714037676,0.9892546323163204,0.9719316980677684
17.75,0.9823858336056748,1.000640792050519,0.940132679,1.0193573434725558,1.005317030452654,0.9792168470456576
18.25,1.003241258957797,1.008565295684704,0.959274511,1.0012427703941351,1.008301990208596,0.9992442818304752
18.75,1.1019179936408003,1.0192051710329628,1.0129314889997052,1.0034648395698011,1.0114722031192067,0.9684382366791578
19.25,0.8819626187038085,1.015733737,1.036440796317917,0.9412391287185244,1.0104719719321045,0.9511185470543104
19.75,0.9812168988779922,1.003973501680633,0.8276351234014371,0.993162148,1.007106141223365,1.0068138614574167
