name,canonical smiles,n,rho [g/mL],mw [g/mol],num_types,position_seed,num_mols
amp,CC(C)(CO)N,1.4455,0.934,89.138,6,68419,1938
bae,C(CCC)NCCO,1.444,0.891,117.19,6,80297,1406
dea,C(CO)NCCO,1.4775,1.09,105.137,6,90015,1917
degme,CCOCCOCCO,1.4273,0.99,134.17,5,45003,1365
dmso,CS(=O)C,1.4772,1.101,78.13,4,42838,2606
egme,CCOCCO,1.4054,0.931,90.122,5,3447,1910
etg,C(CO)O,1.4385,1.113,62.068,4,55987,3316
ipmea,CC(C)NCCO,1.441,0.897,103.16,6,38294,1608
mdea,CN(CCO)CCO,1.469,1.038,119.164,5,64612,1611
mea,C(CO)N,1.4539,1.0117,61.084,6,92287,3063
meoh,CO,1.3314,0.792,32.04,4,49732,4571
prp,CCCO,1.3829,0.804,60.096,4,66544,2474
tbae,CC(C)(C)NCCO,1.4444,0.867,117.19,6,89616,1368
tbap,CC(CNC(C)(C)C)O,1.437,0.9,131.22,6,3644,1268
thf,C1CCOC1,1.405,0.888,72.11,3,41257,2277
12586,C1OCCO1,1.3974,1.06,74.08,4,72478,2646
20147457,C1C[C@H]2[C@H]1OC2,1.3974,0.7038,84.12,3,22103,1547
zinc_1609008,CC1(C)OC1,1.38,0.808,72.11,4,8977,2072
zinc_5052074,C1CCOCO1,1.4165,1.0342,88.11,4,65213,2171
zinc_6072456,CCC#N,1.36585,0.7818,55.08,4,58986,2625
acn,CC#N,1.34,0.786,41.05,4,82345,3642
ae,CC(=O)OC(=O)C,1.388,1.075,102.089,5,24402,1947
dmf,CN(C)C=O,1.43,0.944,73.095,6,44809,2388
gbl,C1CC(=O)OC1,1.436,1.1286,86.09,5,3841,2424
pc,CC1COC(=O)O1,1.4189,1.2047,102.09,5,82921,2174
zinc_12495988,O=C1COCC1,1.442,1.1,86.09,5,16562,2363
