solvent_ID,smiles,Binding_Energy_eV,Binding_Energy_Kcal/mol
zinc_5593217,COCCNC(=O)[C@@H](CC)C,-0.246413703,-5.667515169
zinc_400210175,CO[C@H](C1CC1)CN1CCCCC1,-0.239933445,-5.518469235
zinc_5696920,NOCCN(C)C,-0.219656462,-5.052098626
zinc_685002938,C[C@@H](CN(CC1CC1)CC(F)F)O,-0.325153917,-7.478540091
zinc_52602135,CNC[C@@H](C(C)C)OC,-0.288984388,-6.646640924
zinc_404765,CCCC(=O)OC,-0.15916122,-3.66070806
zinc_388123098,CCCCN(C1CC1)CCF,-0.211520362,-4.864968326
zinc_306176094,C=CCN([C@@H](CO)CC)C,-0.219101703,-5.039339169
zinc_22012130,CCCC1(CCC)OC1,-0.196838179,-4.527278117
zinc_45620471,COCCN(CCC[C@@H](O)C)C,-0.1985107,-4.5657461
zinc_307890930,CC[C@H](NC[C@@H](OC)CC)C,-0.189020425,-4.347469775
zinc_54078397,CCOCCN[C@H](C1CCCC1)C,-0.19989391,-4.59755993
zinc_222831137,CN1CCC([C@H](C1)O)(F)F,-0.2170984,-4.9932632
zinc_32213988,C1CC[C@H]2[C@@H](C1)COC2,-0.236326301,-5.435504923
zinc_20041869,CCCCCN[C@H](COC)C,-0.20265682,-4.66110686
zinc_58058343,CCN(CC[C@@H](C(C)C)N)CC,-0.284261849,-6.538022527
zinc_221678538,COC[C@H](N[C@H](CC(F)(F)F)C)C,-0.294766865,-6.779637895
zinc_132004387,CO[C@H]([C@@H](NCCCN(C)C)C)C,-0.259675533,-5.972537259
zinc_691350847,FCCN(C1CC1)C[C@@H](O)C,-0.21519235,-4.94942405
zinc_306478280,C[C@@H](CNCCC(F)F)O,-0.191953814,-4.414937722
zinc_649416322,CCC[C@@H](CN(CC(=C)C)C)O,-0.223777002,-5.146871046
11332880,O=C1O[C@]([C@@](O1)(C)Cl)(C)Cl,-0.135433151,-3.114962473
zinc_308195448,CCCC[C@@H](N(CC(=O)OC)C)C,-0.302686552,-6.961790696
zinc_104566441,NC[C@@H](CF)O,-0.189413929,-4.356520367
zinc_306751517,C[C@@H](CCN1CCOCC1(C)C)F,-0.232237408,-5.341460384
zinc_394010,C[C@H](CN1CCCC1)O,-0.2094988,-4.8184724
zinc_378871213,C=CCOCCN1CC[C@H](C1)C,-0.232112834,-5.338595182
zinc_306831419,COCC(CCO)COC,-0.257775878,-5.928845194
zinc_2171775,CNC[C@@H](O)C,-0.220704209,-5.076196807
zinc_336554827,CO[C@H]1CCN(C1)CC1CC1,-0.197495062,-4.542386426
zinc_1597363,CCCCN(C=O)CCCC,-0.218184624,-5.018246352
zinc_595820552,FCCCCCN([C@@H](C#N)C)CC,-0.229120614,-5.269774122
zinc_683041515,CCCN(CCOC)CC=C,-0.201834246,-4.642187658
zinc_306552455,C[C@H]1OCCN(C1)CC1CCC1,-0.216427584,-4.977834432
zinc_87978545,CCOCCN(CC(OC)OC)C,-0.19797986,-4.55353678
zinc_86121479,CC[C@H](CN[C@@H](C(C)C)CO)C,-0.269004091,-6.187094093
