solvent_ID,smiles,solubility_CO2 [mol/L],solubility_CO2 [m mol/L],viscosity [Pa s],viscosity [Centi Poise]
zinc_122275901,OC[C@H](CN(CC(F)F)C)O,0.07363574,73.63574,0.1030803684424588,103.0803684
zinc_2509976,CCC(OC=O)CC,0.1669544725203252,166.9544725,0.000601766,0.601766
zinc_53172304,COC[C@@H](NCCCN(C)C)C,0.1185993290517438,118.5993291,0.001272738,1.272738
zinc_880233884,COC[C@H](N1CCC[C@@H](C1)CF)C,0.1059507871624853,105.9507872,0.007003299,7.003299
zinc_308043028,O[C@H](CN1CCC1)CCC(C)C,0.077074956,77.074956,0.07893799,78.93799
zinc_48347150,COCCCN(CCO)C,0.1064217651670447,106.4217652,0.007224001,7.224001
zinc_87978836,CCOCCN(CCC#C)C,0.1151942112408323,115.1942112,0.000927634,0.927634
zinc_123446735,C[C@@H]1C[C@@H](C1)NCCOC(F)(F)F,0.081378054,81.378054,0.000376414,0.376414
zinc_238238950,CCCCCCN([C@H](CO)CC)C,0.06176146,61.76146,0.010412638,10.412638
12978171,S[C@H]1CCCO1,0.2006248864125605,200.6248864,0.001175487,1.175487
zinc_41049679,OC[C@H](C(C)C)NCC1CC1,0.076454405,76.454405,0.056998123,56.998123
zinc_39017082,OCCCC1COC1,0.1350436323050783,135.0436323,0.010550666,10.550666
zinc_47848370,N#CCN(C1CC1)CC(C)C,0.1198514917913855,119.8514918,0.001628642,1.628642
zinc_929461656,C[C@@H]1C[C@@H](C1)CN1CC[C@H](C1)C,0.083348247,83.348247,0.007070189,7.070189
zinc_1690416,CN1CCC(CC1)O,0.1324695785439236,132.4695785,0.045141741,45.141741
zinc_233726233,CCOC[C@H](C(C)C)NCC1CCC1,0.086860095,86.860095,0.005677854,5.677854
zinc_322722203,COC[C@H](N[C@H](C1CCC1)CC)CC,0.080349735,80.349735,0.006376393,6.376393
zinc_33611208,CO[C@H](C(=O)N(CC)CC)C,0.1504321148897022,150.4321149,0.003316963,3.316963
zinc_679149576,CO[C@@H]([C@@H](NC1(C)CCC1)C)C,0.1107751335373443,110.7751335,0.003171624,3.171624
zinc_160648278,N#CCN(C(C)C)C[C@H](OC)C,0.1264719122531362,126.4719123,0.000488325,0.488325
zinc_1754575,COC1CN(C1)C(C)(C)C,0.1426435014948467,142.6435015,0.001371996,1.371996
zinc_82487786,CCNC1COC1,0.1673891730929656,167.3891731,0.000863897,0.863897
zinc_230690045,C[C@H](CNCC(C(F)F)(F)F)O,0.091355925,91.355925,0.028181728,28.181728
zinc_306292918,CCC[C@H](N1CCO[C@H](C1)C)C,0.1143738276592207,114.3738277,0.002744428,2.744428
zinc_679853558,COC[C@H]1CCN(C1)C[C@H](OC)C,0.1179474279369233,117.9474279,0.00383107,3.83107
zinc_379327903,COCCN(CCC(=C)C)CC,0.10455135,104.55135,0.000957558,0.957558
zinc_886164345,C=CCCN(C[C@@](C(F)F)(O)C)C,0.08413632,84.13632,0.00175945,1.75945
zinc_32155858,C[C@@H](C(=S)O)N,0.017455137,17.455137,0.024167166,24.167166
zinc_63099779,FC(CCNC1CCC1)(F)F,0.1034765001487409,103.4765001,0.001739377,1.739377
zinc_159221109,OC[C@H](N(CC(=C)CC)C)C,0.1203416025904673,120.3416026,0.004895932,4.895932
zinc_656657903,CCOC1CN(C1)CCCC(C)C,0.1040831503940229,104.0831504,0.002281538,2.281538
zinc_663377167,FCCOCCNC[C@@H](O)C,0.095612686,95.612686,0.033035616,33.035616
524394,Cl[C@H]1COCC1,0.2004624995717606,200.4624996,0.000559361,0.559361
zinc_39259324,COCC[C@H](O)C,0.1367643568344248,136.7643568,0.006357874,6.357874
zinc_235549491,OC[C@H](N(C[C@@H](O)C)C)C,0.1142659226066993,114.2659226,0.1460450261254396,146.0450261
zinc_44688899,CCOC[C@@H](N[C@H](C(C)C)C)C,0.089662225,89.662225,0.002139466,2.139466
zinc_307875793,OCCCC[C@H](NC(C)C)C,0.078669542,78.669542,0.027120444,27.120444
zinc_197992345,CCO[C@@H](C(C)C)CO,0.1010253327126022,101.0253327,0.003712478,3.712478
zinc_132004387,CO[C@H]([C@@H](NCCCN(C)C)C)C,0.101656341,101.656341,0.001439973,1.439973
zinc_70591590,C=CCCCN[C@H](CO)CC,0.079376455,79.376455,0.014028875,14.028875
zinc_388677110,FCCCCCN(CC[C@H](O)C)C,0.084676275,84.676275,0.012615719,12.615719
zinc_5965092,CN(P(N(C)C)C)C,0.1188182389610174,118.818239,0.002006158,2.006158
zinc_379354012,OC[C@H](N(CCC(F)(F)F)CC)C,0.080570416,80.570416,0.007730429,7.730429
21590583,CN(P(=O)(N(C)C)C#C)C,0.130944417,130.944417,2.4337999143668196e-05,0.024337999
zinc_227329921,COC(=O)[C@H](N1C[C@H]([C@H](C1)C)C)C,0.1245719492675111,124.5719493,0.005495194,5.495194
zinc_138626956,C[C@H]([C@@H]1CO1)OC,0.2048782459426829,204.8782459,0.001286959,1.286959
zinc_586500,CCN(C[C@H]1OC1(C)C)CC,0.1228823661632902,122.8823662,0.002089471,2.089471
zinc_299805625,C[C@H]1[C@H](C)CN[C@H]1C,0.1321684287275336,132.1684287,0.001344082,1.344082
zinc_607192498,CCOCCN1C[C@H](C[C@@H]1C)C,0.1041609803778172,104.1609804,0.004293715,4.293715
zinc_44480645,C[C@@H](CNC1CCC1)O,0.088053788,88.053788,0.039819465,39.819465
zinc_230676237,COC[C@H](N[C@@H]1C[C@H](C1)OC)C,0.1099728023269236,109.9728023,0.003965195,3.965195
zinc_5513689,CCCCN(CCCC)O,0.0734235,73.4235,0.006469802,6.469802
zinc_204516225,CCN1C[C@@H]2[C@H](C1)C2,0.1213712954601663,121.3712955,0.002084307,2.084307
zinc_398178380,C[C@H](N[C@@H]([C@@H](O)C)C)CCCC=C,0.076038498,76.038498,0.027156043,27.156043
zinc_679853565,CO[C@H](CN(C1CCC1)CC)C,0.098757865,98.757865,0.001066455,1.066455
zinc_1693640,CCCCCOCCCCC,0.088673823,88.673823,0.001169795,1.169795
zinc_2045143,OC[C@H](N1CC1)C=C,0.1371327280350258,137.132728,0.028918647,28.918647
zinc_932969511,COCCN1CC[C@@H](C1)OCC,0.1299689085319958,129.9689085,0.002486983,2.486983
zinc_39238416,CCOCC1CC1,0.1723903104254723,172.3903104,0.000456532,0.456532
zinc_82394434,O[C@@H](C(F)(F)F)CNCC1CC1,0.081440047,81.440047,0.044502683,44.502683
zinc_307980149,CC[C@@H](CN[C@H]1COCC1)OC,0.129168188,129.168188,0.002713534,2.713534
zinc_1602306,CC(N[C@H]1CCCC[C@@H]1O)C,0.1062309805619792,106.2309806,0.076676372,76.676372
zinc_1712114,CCCCOC(=O)OCC,0.1446286545745822,144.6286546,0.001023212,1.023212
zinc_844392263,FCCN1C[C@@H](CC)OC[C@H]1C,0.1189485403549668,118.9485404,0.003336328,3.336328
zinc_880300211,CC[C@H](CN1CC[C@@H](C1)CF)OC,0.1114560927028114,111.4560927,0.003822795,3.822795
zinc_20188311,OCCCNCC,0.1097375975804222,109.7375976,0.010114764,10.114764
zinc_37468916,CCN[C@H](C1CC1)CC,0.096152764,96.152764,0.001734839,1.734839
zinc_233771469,CCOC[C@@H](C(C)C)NCC1CC1,0.088656597,88.656597,0.004273319,4.273319
zinc_42338085,COC[C@@H](N(CC#N)C)C,0.1505002218597637,150.5002219,0.000886591,0.886591
100164,C[C@H]1C[C@H](C)CN(C1)C,0.1024202308688816,102.4202309,0.002020123,2.020123
zinc_21363208,C1CC1CN1C[C@@H]2[C@H](C1)C2,0.1266392766620908,126.6392767,0.006715795,6.715795
zinc_308473798,CC[C@H](CN[C@H](C1CCC1)C)OC,0.088029988,88.029988,0.00438504,4.38504
zinc_224171259,C[C@H](NC[C@@H](OC)C)CC#N,0.1143994076098316,114.3994076,0.001220158,1.220158
zinc_82648987,COC(=O)CN(C[C@H]1C[C@H]1C)C,0.1329523215474138,132.9523215,0.001409702,1.409702
zinc_642651274,C=CCN(C[C@@H](OC)CC)CC=C,0.094727911,94.727911,0.001272136,1.272136
zinc_83122209,CC[C@H](C1CCC1)NCC,0.096017745,96.017745,0.00237769,2.37769
zinc_45619003,C[C@@H](CCCN1CCCC1)O,0.091080997,91.080997,0.069904757,69.904757
zinc_1119246075,CCC[C@H](CN(C[C@@H](O)C)C)OC,0.1156578630521172,115.6578631,0.012541997,12.541997
zinc_320512451,C=CCC[C@H](NC(C)C)CO,0.081146362,81.146362,0.016883205,16.883205
zinc_397747423,CC[C@@](CNCCC=C(C)C)(OC)C,0.089339702,89.339702,0.00220313,2.20313
zinc_388425296,FC(CN(C1CC1)C1COC1)F,0.1275374622847101,127.5374623,0.001842992,1.842992
zinc_132909706,COCCN[C@H](CCO)C,0.096803495,96.803495,0.023734118,23.734118
zinc_107218395,CC(N1C[C@H](C[C@H]1C)O)C,0.087682331,87.682331,0.094578425,94.578425
zinc_397108528,OCCCN(C[C@H](OC)CC)C,0.089006015,89.006015,0.009498673,9.498673
12929516,Br[C@H]1COCC1,0.1913794449570728,191.379445,0.000554277,0.554277
zinc_37473074,CC[C@@H]([C@@H](NCC(OC)OC)C)C,0.1040955547366449,104.0955547,0.001825413,1.825413
zinc_307864731,CCCN(CCCCF)CC,0.1053110772040175,105.3110772,0.000994213,0.994213
zinc_76570055,N[C@H]1COC[C@@H]1C,0.1656975641388889,165.6975641,0.001829965,1.829965
zinc_885269423,O[C@H]1CCN(C1)CC(F)(C)C,0.1144235983324813,114.4235983,0.075772734,75.772734
zinc_2041069,OCCNCC,0.1106821720050016,110.682172,0.008284674,8.284674
zinc_229962617,C=CCC[C@@H](NC[C@@H](CC)O)C,0.074314138,74.314138,0.019416203,19.416203
zinc_41047695,OC[C@@H](C1CC1)NC(C)C,0.1014588753689218,101.4588754,0.052169581,52.169581
