solvent ID,canonical smiles,liquid density [kg/L],boiling point [K],melting point [K],flash point [K],dielectric constant,vapor pressure [bar],critical temperature [K],critical pressure [bar],critical volume [L/mol],triple point temperature [K],ideal gas entropy [J/mol/K],enthalpy of formation ideal gas [kJ/mol],gibbs energy ideal gas [kJ/mol],enthalpy of combustion [kJ/mol],enthalpy of fusion [kJ/mol],enthalpy of sublimation [kJ/mol],standard enthalpy of formation [kJ/mol],liquid molar volume [L/mol],solubility parameter [(cal/cm^3)^1/2],parachor,van der waals area [A^2],van der waals volume [A^3],synthetic accessibility
zinc_50103500,FC(CN1CCC[C@@H](C1)O)F,1.1556464201883172,514.1984736349264,297.3106689453125,387.5115626676598,15.043988227844238,0.000120675,559.9122924804688,33.606119434887184,0.45185041427612305,296.0224304199219,409.6938477,-608.6508789,-356.486908,-3559.662842,21.69672203063965,79.61311340332031,-691.5123291,0.1428607553243637,10.532116889953613,330.41033935546875,181.80328369140625,142.38462829589844,2.9073126316070557
zinc_14444687,CO[C@@H](C(=O)C)C,0.8747184797935132,394.71070492279495,233.79415893554688,297.8650374804102,19.237001419067383,0.017522027362738158,511.78094482421875,37.02447152660573,0.35892003774642944,232.4188995361328,380.7835388183594,-409.0339355,-258.3943481,-2794.539063,17.333267211914062,58.45960235595703,-435.2176514,0.11668677628040314,9.139299392700195,259.09942626953125,154.23402404785156,106.96575164794922,2.8362491130828857
10080341,C[C@@H]1OC(=O)CO1,1.2210109654256704,487.7291763005545,297.37689208984375,379.2945251007887,64.33010864257812,0.000285653,800.9443969726562,52.930420519018625,0.25679266452789307,298.2494201660156,292.2460938,-534.8325195,-414.1629333,-1695.764404,18.16426658630371,63.90352249145508,-599.7816772,0.083563291,12.64435101,209.05181884765625,100.08860778808594,80.92196655273438,4.018070697784424
zinc_2025033,O[C@@H]1COC[C@@H]1O,1.1111735563163114,505.8744683837717,295.16790771484375,415.93570292087617,20.641021728515625,1.6661402457923858e-06,608.4661865234375,53.08373692388573,0.2747907340526581,296.1278991699219,410.6123962402344,-515.9608154,-372.3839722,-2000.151367,19.747928619384766,97.16072082519531,-603.7272949,0.093637347,11.926900863647461,223.88070678710938,117.32208251953125,94.96575164794922,3.654116153717041
zinc_382056477,CCC[C@@H](N[C@H](CC(F)F)CO)C,0.9779874710447868,520.5685941088221,215.60069274902344,386.3950139096187,9.412186622619629,3.978391468629952e-08,540.6791381835938,21.839408609421366,0.6458388566970825,216.16500854492188,618.0646362304688,-721.06604,-415.1765747,-4986.822754,46.50985336303711,104.5301284790039,-820.7487793,0.19953575730323792,9.835474967956543,448.42596435546875,267.7802734,193.18162536621094,3.532376766204834
zinc_53589820,CCC[C@H](NCCOC1CCC1)C,0.8668275749192713,514.7892046715278,230.5064697265625,366.98268104228276,1.4660258293151855,0.000105997,635.1853027,21.06622765938068,0.6858403086662292,230.88414001464844,591.3796997070312,-305.9956665,41.820003509521484,-6730.476563,39.879764556884766,95.52742767333984,-379.7569275,0.21362721920013428,8.242427825927734,492.2254638671875,284.9534912109375,207.9000701904297,2.6370081901550293
zinc_225545123,CC[C@@H](N(C[C@H](C1CC1)O)C)C,0.880892074,520.608881,235.38613891601562,380.21988884368625,13.292559623718262,3.295037652430119e-05,650.9373168945312,23.377204094136463,0.651796818,244.62217712402344,544.7327880859375,-308.9946289,7.182105541229248,-6095.756348,26.783580780029297,94.74931335449219,-408.624939,0.1943056583404541,9.466627121,444.1348571777344,251.61451721191406,191.31056213378906,3.3467981815338135
zinc_37625136,OC[C@@H](N1CCCCC1)C,0.9531863377951912,519.1078225942595,296.8138732910156,382.93777344789146,14.29938793182373,8.646452286311049e-05,674.4472656,33.337928343800456,0.479433149,294.97991943359375,399.4289551,-256.3753662,20.171695709228516,-4769.557617,20.66651153564453,82.52533721923828,-343.4916992,0.15016058087348938,10.572105407714844,351.4284668,198.34344482421875,150.35684204101562,2.4543960094451904
535623,C[C@H]1C[C@@H](O1)C,0.7725966262028491,335.8012477776754,185.76792907714844,253.15988732754175,4.023718834,0.18196232113282249,518.4730224609375,36.204553246320486,0.30909544229507446,185.38943481445312,363.7927246,-256.57901,-100.5394135,-3068.191162,10.060867309570312,49.80152512,-281.2336426,0.11140763759613037,8.099201202392578,242.29205322265625,143.5046387,99.87818145751953,3.020381212234497
zinc_666130769,CC[C@@H]([C@@H]1C[C@@H]1C)N[C@@H]([C@@H](OC)C)C,0.852154057,512.2514689,216.0742950439453,356.96627471422073,1.1620869636535645,0.000138122,627.345459,19.004876368160406,0.7401455640792847,216.50082397460938,618.7063598632812,-361.2859497,25.859336853027344,-7349.410156,41.73741531,92.28893280029297,-437.87323,0.2337530553340912,7.358748435974121,529.0418090820312,286.5635986328125,227.50514221191406,4.2891364097595215
zinc_143174189,OCC(=O)OC[C@@H]1COC(=O)O1,1.4782131640714788,616.3121477123254,373.3572082519531,484.9124305065841,74.89635467529297,5.298662259872384e-09,827.9683227539062,42.983376926785446,0.414619505,374.3564758300781,471.1244812011719,-1031.724609,-847.8381348,-2085.430664,33.19041442871094,117.69709014892578,-1149.78479,0.11908437311649323,15.249170303344727,318.09234619140625,167.0127410888672,129.19564819335938,3.3380966186523438
zinc_307875793,OCCCC[C@H](NC(C)C)C,0.8324005291030027,514.0473752341015,228.9931182861328,382.66372716283064,9.065773010253906,1.9847183957052836e-05,630.1516113,23.845161709978083,0.6069300770759583,229.30047607421875,578.0717163085938,-351.1328125,-42.62278366,-5618.397461,41.769901275634766,103.36380004882812,-445.9231567,0.19120880961418152,9.692630767822266,431.6546630859375,255.97137451171875,186.08766174316406,2.660505771636963
