solvent_id,scf_energy_eV,dipole_moment_D,homo_eV,lumo_eV,homo_lumo_gap_eV,polarizability_ang3,min_partial_charge,max_partial_charge,min_abs_partial_charge,max_abs_partial_charge,vib_freq_min_cm1,vib_freq_max_cm1,vib_freq_count
zinc_5593217,-520.3388554,3.6718499914893035,-188.2619253,-6.330932001,181.93099328984937,748.1305000000001,-0.832151,0.392923,0.034817,0.832151,23.0414,3627.7857,78
zinc_400210175,-561.7868227,1.656752301944983,-159.7912428,1.9103864985258905,161.7016292822031,933.9977957714798,-1.140739,0.562172,0.001836,1.140739,28.8558,3225.798,96
zinc_5696920,-344.3202892,0.6385585720981278,-163.4491146,4.894439827618658,168.34355443405474,496.65409896536215,-0.802413,0.379028,0.149089,0.802413,52.144,3517.7383,51
zinc_685002938,-682.8549366,2.4474132977492786,-173.3416586,-1.984432487,171.35722615847348,807.1274449,-0.794729,0.647513,0.076133,0.794729,26.9357,3729.397,84
zinc_52602135,-406.9693471,1.3718494378028516,-165.4853793,2.3176394342581546,167.80301871935555,655.9585283400811,-0.847175,0.397601,0.172656,0.847175,62.569,3522.0361,72
zinc_404765,-347.0421738,1.6904325422802295,-209.328009,0.5257265170361948,209.85373548341965,443.9659572649574,-0.836357,0.670882,0.155141,0.836357,31.4461,3175.9896,45
zinc_388123098,-508.3899976,2.374913482634683,-168.4916464,4.783370845146222,173.27501725583087,774.2981061628429,-0.8436,0.221701,0.054619,0.8436,46.0925,3232.5188,81
zinc_306176094,-445.0514547,2.9223284089917065,-166.5442369,-9.011396778,157.53284014007104,721.4486862348178,-0.793212,0.493158,0.165883,0.793212,51.4159,3611.1288,75
zinc_22012130,-389.7142899,2.1370215300740423,-197.5398876,3.576421235612423,201.11630886225475,646.7576794871794,-0.893578,0.423577,0.074459,0.893578,49.4663,3183.6675,69
zinc_45620471,-560.8171399,0.8251768840678949,-162.5457535,4.146575345637593,166.6923288946312,865.5645366621682,-0.743585,0.458082,0.02444,0.743585,26.8499,3722.3707,93
zinc_307890930,-485.603632,0.9500860066330837,-170.0169938,2.7397015676534093,172.7566953376262,818.4482433648224,-0.919681,0.35468,0.113946,0.919681,25.4264,3495.9799,90
zinc_54078397,-563.0313757,1.0915252905911068,-167.8918739,-0.436871331,167.45500257427526,953.6434885290148,-0.866547,0.353097,0.078304,0.866547,27.9104,3472.2384,102
zinc_222831137,-564.9505654,3.4252169756089907,-169.4024121,-7.737805779,161.66460628804563,545.1167631578948,-0.557191,0.568294,0.010933,0.568294,102.8046,3770.6317,57
zinc_32213988,-388.5333452,2.106095859641721,-183.3971039,-0.599772505,182.79733135313438,607.267906,-0.541585,0.220083,0.038869,0.541585,94.4429,3082.2208,63
zinc_20041869,-485.6080787,1.1009259012304144,-168.2843176,3.917032781861226,172.20135042526402,828.2317476383266,-0.874476,0.345971,0.064133,0.874476,33.4649,3465.8052,90
zinc_58058343,-505.058148,1.532457275097743,-151.7054209,0.3183977497543151,152.02381860943825,944.7958726945568,-0.83768,0.380877,0.001301,0.83768,24.4115,3569.771,102
zinc_221678538,-744.0388487,2.940274363048455,-177.8362501,-4.042910962,173.79333917403557,755.2638731443996,-0.571327,1.019034,0.077366,1.019034,18.6886,3486.3365,81
zinc_132004387,-580.2633032,1.5712405353732444,-159.4654404,3.3172602765100736,162.78270071160148,972.9421434997752,-0.779721,0.377361,0.114575,0.779721,26.9875,3497.4287,105
zinc_691350847,-544.2851929,0.6061118213663218,-158.7101714,-4.383522508,154.3266488460334,711.5181443994601,-0.60504,0.449182,0.007812,0.60504,47.6165,3720.6418,75
zinc_306478280,-566.1587842,3.7791513835780646,-182.1605359,-6.21245842,175.94807743400085,592.6089374718849,-0.621967,0.463777,0.161635,0.621967,37.5799,3723.384,63
zinc_649416322,-523.698624,1.6600839105298262,-163.3602594,-2.791533759,160.56872566098428,916.5513900134952,-0.931912,0.738243,0.039016,0.931912,30.6816,3723.0896,93
11332880,-1340.261382,4.638805068118296,-241.9378622,-43.32430776,198.61355445720912,617.3187040035988,-0.815057,1.00355,0.165503,1.00355,93.0363,3176.7829,42
zinc_308195448,-598.9634525,1.9966290842317207,-159.1470427,-1.073666831,158.07337585477023,903.9826271,-0.884784,0.768837,0.035842,0.884784,26.8922,3176.4155,96
zinc_104566441,-348.9520688,2.3326500337598866,-185.6332927,-4.250239729,181.38305297631868,340.34355960413853,-0.834686,0.450701,0.025328,0.834686,103.4274,3727.8786,36
zinc_306751517,-622.9603585,2.2388290823553283,-151.001984,-1.851149708,149.1508342628179,859.5915339631129,-0.873219,0.230553,0.02199,0.873219,40.6435,3140.5597,93
zinc_394010,-405.771269,3.2026427774573927,-173.6822702,-0.385039139,173.29723105232534,628.5882690058479,-0.824003,0.500305,0.157083,0.824003,65.6818,3608.4994,66
zinc_378871213,-522.472629,1.6612995906819454,-156.0371112,-5.168409984,150.86870119172488,885.9311605937924,-0.817957,0.213544,0.039188,0.817957,25.4606,3232.3418,87
zinc_306831419,-502.046573,4.354951422,-195.5924781,0.088855186,195.6813333199369,663.8428587494376,-0.619,0.448625,0.153064,0.619,46.9964,3745.594,72
zinc_2171775,-289.0315278,2.190924263866736,-166.5220231,1.9103864985258905,168.4324096200327,426.34559514170047,-0.688359,0.457477,0.012529,0.688359,109.1973,3720.0382,45
zinc_336554827,-483.1429975,2.065471268258167,-159.9023118,1.2217588071967906,161.12407057334642,764.8694399,-0.592938,0.235598,0.077933,0.592938,46.3271,3228.649,78
zinc_1597363,-484.4353167,4.545009682057895,-181.420076,-1.036643836,180.38343213406677,797.0781443994603,-0.864446,0.32792,0.060885,0.864446,22.5549,3118.6581,84
