solvent,class,ether,amine,fluorinated,cyclic,aldehyde,alcohol,ketone,alkene,ester,chlorinated,carboxylic acid,amide,halogenated,alkyne,nitrile,imine,thiol,phosphate,diol,sulfoxide,phosphite,thiocarboxylic acid,imide,hydrazine,aminal,sulfide,urea,brominated
zinc_113073003,"['dialkyl ether', 'tertiary amine', 'tertiary aliphatic amine (trialkylamine)', 'alkyl fluoride', 'heterocyclic compound']",True,True,True,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
zinc_2539384,"['acetal', 'heterocyclic compound']",False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
zinc_307369029,"['secondary alcohol', 'tertiary amine', 'tertiary aliphatic amine (trialkylamine)', 'heterocyclic compound']",False,True,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
zinc_308383513,"['ketone', 'dialkyl ether', 'tertiary amine', 'tertiary aliphatic amine (trialkylamine)']",True,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
zinc_53302853,"['dialkyl ether', 'secondary amine', 'secondary aliphatic amine (dialkylamine)', 'alkene']",True,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
zinc_83158338,"['secondary amine', 'secondary aliphatic amine (dialkylamine)']",False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
13082553,"['dialkyl ether', 'heterocyclic compound']",True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
zinc_388423711,"['dialkyl ether', 'tertiary amine', 'tertiary aliphatic amine (trialkylamine)']",True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
zinc_70591601,"['secondary alcohol', '1,2-aminoalcohol', 'secondary amine', 'secondary aliphatic amine (dialkylamine)', 'alkene']",False,True,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
14454423,"['tertiary amine', 'tertiary aliphatic amine (trialkylamine)', 'heterocyclic compound']",False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
zinc_71483138,"['dialkyl ether', 'secondary amine', 'secondary aliphatic amine (dialkylamine)', 'tertiary amine', 'tertiary aliphatic amine (trialkylamine)', 'heterocyclic compound']",True,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
zinc_39437573,"['acetal', 'carboxylic acid ester', 'heterocyclic compound']",False,False,False,True,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
zinc_19904383,"['dialkyl ether', 'secondary amine', 'secondary aliphatic amine (dialkylamine)']",True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
zinc_41362352,"['dialkyl ether', 'tertiary amine', 'tertiary aliphatic amine (trialkylamine)', 'heterocyclic compound']",True,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
zinc_230690045,"['secondary alcohol', '1,2-aminoalcohol', 'secondary amine', 'secondary aliphatic amine (dialkylamine)', 'alkyl fluoride']",False,True,True,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
zinc_308527029,"['dialkyl ether', 'secondary amine', 'secondary aliphatic amine (dialkylamine)']",True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
zinc_1687155,['primary alcohol'],False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
