solvent ID,smiles,EA_0-1,protic
zinc_1345620175,C[C@H](N[C@@H]1CCCC[C@H]1F)[C@@H](C)O,-5.118748541,TRUE
zinc_644654185,CC[C@@H](O)CNCC(C)(F)F,-4.700915608,TRUE
zinc_156549661,C[C@H](O)CN1CCC[C@H]1C,-5.431978031,TRUE
zinc_44415169,CC[C@@H](C)N(CCO)CCOC,-4.815562676,TRUE
zinc_213379948,CC1(C)CO[C@@H](CO)C1,-5.748523208,TRUE
zinc_34301001,O[C@@H]1C[N@]2CC[C@@H]1C2,-4.754757001,TRUE
zinc_307146552,CCO[C@H](CO)C1CC1,-4.801062516,TRUE
zinc_116909085,CC(=O)N(C)[C@H](C)CO,-4.405582174,TRUE
zinc_379350015,CC(C)N(CCO)CCCCCF,-5.541016885,TRUE
zinc_34759600,CCC(O)(CC)CNC,-5.395071018,TRUE
zinc_307196786,CN(CC(F)F)[C@@H]1C[C@@H](O)C1,-4.780279463,TRUE
zinc_233714974,CCO[C@H]1C[C@H](CO)C1,-5.432316112,TRUE
zinc_38000088,C[C@H]1CCCN1CCO,-5.420806707,TRUE
zinc_379354012,CCN(CCC(F)(F)F)[C@H](C)CO,-5.573841818,TRUE
zinc_307177934,C[C@H](O)CN1CCC[C@@H]1C(F)F,-5.314601826,TRUE
zinc_62462863,OCCCOCC1CC1,-4.424967585,TRUE
zinc_379321797,CC(C)[C@@H](C)N(C)C(=O)[C@@H](C)O,-4.069886906,TRUE
zinc_388250681,OC[C@@H](NCC(F)F)C1CCCC1,-5.610296377,TRUE
zinc_1473475099,C[C@H](O)CN(CC(F)F)C[C@H](C)O,-4.815928023,TRUE
zinc_72275950,C[C@H](O)[C@@H]1CCOC1,-4.439655726,TRUE
zinc_5599779,CN(CCO)C1CCCCC1,-5.653501426,TRUE
zinc_388391071,C=C[C@H](CO)N[C@H](CC)CCC,-3.726026721,TRUE
zinc_1251972923,C[C@H](O)CN[C@@H](C1CC1)C(F)(F)F,-4.798551563,TRUE
zinc_631668138,CCC[C@@H](CCO)N[C@@H](C)CC,-5.577241351,TRUE
zinc_70595520,C=CCCN1CC(O)C1,-4.064248139,TRUE
zinc_69049532,OCC[C@H]1CCCO1,-5.442351896,TRUE
zinc_1733915,C=C[C@H](O)CN(C)C,-3.627198512,TRUE
zinc_307942072,C[C@H](O)CN[C@H]1C[C@H](C(F)F)C1,-4.257989496,TRUE
zinc_220197161,C=CCN(CCO)[C@@H](C)CC,-3.930101045,TRUE
zinc_83218657,CCCC[C@@H](C)NC[C@@H](C)CO,-5.472146495,TRUE
zinc_308140885,CC(C)CC[C@@H](O)CN1C[C@H](F)C1,-4.865508676,TRUE
zinc_114483735,N[C@@H]1C[C@H]1O,-4.618775438,TRUE
zinc_232637805,CC(C)COCCN(C)C[C@@H](C)O,-5.578433552,TRUE
zinc_397829094,CC(=CCCNC[C@H](C)O)C,-4.234581683,TRUE
zinc_23804166,C=CCN(CCO)C1CC1,-3.646316945,TRUE
zinc_307964665,C=C(C)CNC[C@H](O)CC(F)(F)F,-4.004605944,TRUE
zinc_306478280,C[C@H](O)CNCCC(F)F,-4.290687635,TRUE
zinc_308132696,CN(CCCCF)CC(C)(C)O,-5.622080412,TRUE
zinc_649254349,C=CCCCCN(CCO)C(C)C,-4.018866122,TRUE
zinc_122849812,CCCC[C@@H](C)N[C@@H](C)CCO,-5.559618174,TRUE
zinc_1654086,CCOCCCCC(C)(C)O,-5.703350539,TRUE
zinc_122122089,C[C@@H](NCCO)C1CCC1,-5.302425527,TRUE
zinc_652019930,CC[C@H](C)[C@@H](C)N[C@@H](CO)CCF,-5.362187322,TRUE
zinc_15635672,C[C@@H](CO)N1CCCC[C@@H]1C,-4.765681042,TRUE
zinc_87362599,CC[C@@H](CCO)CNC(C)C,-4.308557772,TRUE
zinc_379153454,CCOCCN(C)[C@H](CC)CO,-4.776724226,TRUE
zinc_648754900,C=CCC[C@H](CC)N[C@@H](CC)[C@H](C)O,-4.050329221,TRUE
zinc_307878827,C=C[C@H](CO)N[C@@H](C)C1CC1,-3.735031101,TRUE
zinc_4886739,CN(C)CC(O)CN(C)C,-5.464502495,TRUE
zinc_83428619,CN1CC(CCO)C1,-4.855633822,TRUE
zinc_2509151,CCCCCCNC[C@@H](C)O,-4.568504775,TRUE
zinc_1565877,CCCC[N]1([O])CCOCC1,-5.890831177,FALSE
zinc_1640816,C=CCOC(=O)OCCO,-2.021911577,TRUE
zinc_62463053,OCCCOC1CCC1,-4.969531362,TRUE
zinc_159033790,CC(C)OCCN[C@H](C)[C@@H](C)O,-4.374501747,TRUE
zinc_95635072,CN(C)C[C@H](O)CO,-4.595463434,TRUE
zinc_1335987528,C[C@@H](O)CN[C@@H]1C[C@H]1C(F)(F)F,-4.700432305,TRUE
zinc_87501069,COC[C@@H](CO)C1CC1,-5.364646114,TRUE
zinc_644664024,C=C(CC)CNC[C@@H](O)CCC(C)C,-4.016662454,TRUE
zinc_11892475,CC(C)N1CC[C@H](CO)C1,-4.862387652,TRUE
zinc_39212281,CC1(O)CCOCC1,-4.872246367,TRUE
zinc_88026816,O[C@H]1CCN(CCCF)C1,-4.798706835,TRUE
zinc_11638226,CC(=O)N(C)CCO,-4.351165252,TRUE
