solvent ID,smiles,EA_0-1,protic
643459,CO[C@@H]1CCCO1,-5.4126827170971055,False
zinc_39437573,CC(=O)OCCC1OCCO1,-4.073539380309725,False
zinc_71773133,CC[C@@H](C)OC(C)(C)OC,-5.436234460104772,False
zinc_5818974,CCC(C)(OC)OC,-5.797474176165423,False
zinc_307225134,CC[C@](C)(C=O)COC,-3.579703867357224,False
zinc_85652280,CCCOC(=O)CC1OCCO1,-3.975594281863645,False
47519,CO[C@@H]1CCCO1,-5.4003447606203405,False
zinc_689895764,COC(CN1CC[C@@H](F)C1)OC,-5.699939500517249,False
zinc_33506468,COC(C[C@H](C)O)OC,-5.527981266321172,True
157568,C1COC[C@@H]1C=O,-3.440884613470028,False
zinc_5701041,COC(CCCO)OC,-4.561245251812749,True
zinc_379363517,COC(CN1CCC(F)(F)C1)OC,-5.251866008290459,False
zinc_308140091,CC.[C@H]1(C[C@@H]2CCC[N@@]2C1)C=O.C,-3.3096414362734423,True
zinc_639836947,CC[C@H](C)CN1CCO[C@@H](OC)C1,-5.57348342176252,False
zinc_85350969,COC(CN1CCO[C@H](C)C1)OC,-5.57070379274643,False
zinc_14620053,COC(OC)C(C)(OC)OC,-5.604685523317007,False
zinc_2528016,CCCC(CC)(OC)OC,-5.552643034196481,False
zinc_6036002,COC(C)(OC)[C@@H](C)O,-4.863323382384631,True
zinc_1867172,CC[C@@]1(C)O[C@H](C)[C@@H](C)O1,-4.90179532642607,False
zinc_5360261,COC(C)(CC(C)C)OC,-5.516202889119086,False
zinc_2539384,CO[C@H]1OC1(C)C,-4.738924186528389,False
zinc_31622606,CCC1OCCO1,-4.789232596890915,False
zinc_1691694,CCC1(CC)OCCO1,-5.710078261138615,False
zinc_714604864,COC(CN(C)CCCF)OC,-5.224333086007386,False
zinc_39381706,COC1(OC)CCC1,-5.36848075025841,False
zinc_85351036,COC(CN(C)[C@H](C)C1CC1)OC,-5.514397168911367,False
zinc_86010874,COC(CN1C[C@@H](C)[C@@H](C)C1)OC,-5.353933521241667,False
12918678,C1COC[C@@H]1C=O,-3.440884586527308,False
zinc_57340898,COC(CNC1CC1)OC,-5.6876849326433465,True
zinc_33608631,CCNCC(OC)OC,-5.463344781345612,True
zinc_39087197,CCOC(=O)C1OCCCO1,-3.845468080826977,False
zinc_78693714,COCOCCC=O,-3.473609075647706,False
zinc_2567997,COCCC(C)(OC)OC,-5.770086341971609,False
zinc_1845608,CC1(C)COCOC1,-5.878461670465081,False
zinc_2035338,CCCO[C@H](C)OCC,-5.490367295336117,False
zinc_85351070,CC[C@H]1CCCN1CC(OC)OC,-5.460919398963007,False
zinc_33638574,COC(CNC1CCCCC1)OC,-5.4200794880823,True
zinc_5134267,OCC1OCCCO1,-4.354200785491239,True
zinc_34732441,NC[C@@H]1COCO1,-4.668012055958542,True
zinc_85350942,CCCCN(CC)CC(OC)OC,-5.625248829016659,False
zinc_2044508,CC(C)C1(C(C)C)OC[C@H](C)O1,-5.440113983418483,False
19366371,C1[C@H]2[C@@H](O1)O2,-3.505988936789892,False
zinc_393797,CCOC(CN1CCCC1)OCC,-5.577861229014505,False
zinc_82534558,COC(CNCC(OC)OC)OC,-5.103448254923994,True
zinc_6020286,COC(OC)[C@H](C)N,-5.367283834199047,True
zinc_85350972,CCCN(CCC)CC(OC)OC,-5.626841187563721,False
zinc_380378276,COC(CN1C[C@H]2C[C@H]2C1)OC,-4.25711683937929,False
zinc_1653261,CCN(CC)C[C@@H](O)C=O,-3.119672988602044,True
zinc_5954463,CC[C@H]1COCO1,-4.367012777202289,False
zinc_32223725,COC(OC)[C@H](C)O,-5.538382855959823,True
zinc_393589538,COC(CN(C)C[C@@H](C)OC)OC,-5.299016294300953,False
zinc_104457758,COCOCCCO,-4.416519148185305,True
zinc_217552544,COCCN1CC[C@@H](C=O)C1,-3.4392792953351576,False
zinc_1610700,COC(=O)C(C)(OC)OC,-3.748454159589278,False
zinc_37389064,COC(CNCC(C)C)OC,-5.972394578237001,True
zinc_85350956,COC(CN1CCC(C)CC1)OC,-6.000214578239817,False
zinc_234587619,COC(CN1CC[C@H](OC)C1)OC,-5.45606763730796,False
zinc_83055485,CC[C@H](NCC(OC)OC)C1CC1,-4.395905135751641,True
zinc_5752097,CC(C)C[C@@H]1OC[C@H](C)O1,-4.649365798964422,False
zinc_87978545,CCOCCN(C)CC(OC)OC,-5.234812190671562,False
zinc_34534146,COC(C)(OC)C(C)(OC)OC,-5.6384101906767565,False
zinc_37473107,COC(CNCC1CC1)OC,-4.28912224663186,True
