solvent ID,smiles,EA_0-1,protic
zinc_308167491,C=C(CC)CN(C)CCOCC,-4.014795330565926,False
zinc_648539016,C=CCCCC[C@@H](C)NC[C@@H](C)OC,-4.028304634197114,True
zinc_388391071,C=C[C@H](CO)N[C@H](CC)CCC,-3.726026721244138,True
zinc_70595520,C=CCCN1CC(O)C1,-4.064248138859016,True
zinc_1733915,C=C[C@H](O)CN(C)C,-3.627198511915664,True
zinc_220197161,C=CCN(CCO)[C@@H](C)CC,-3.930101044559187,True
zinc_649694064,C=CCCCN(C(C)C)C1COC1,-3.949796516064231,False
zinc_397829094,CC(=CCCNC[C@H](C)O)C,-4.234581682902201,True
zinc_23804166,C=CCN(CCO)C1CC1,-3.6463169450779938,True
zinc_307964665,C=C(C)CNC[C@H](O)CC(F)(F)F,-4.004605944041772,True
zinc_85058719,C=C(CC)CNC.C=CCOC,-3.826653322280784,True
zinc_649254349,C=CCCCCN(CCO)C(C)C,-4.01886612227996,True
zinc_126766585,C=CCC[C@@H](C)NCCOCC,-3.9846003316080014,True
zinc_648754900,C=CCC[C@H](CC)N[C@@H](CC)[C@H](C)O,-4.050329220722252,True
zinc_307878827,C=C[C@H](CO)N[C@@H](C)C1CC1,-3.7350311005183983,True
zinc_319386485,C=CC[C@H](C)NC[C@](C)(CC)OC,-4.062150087045971,True
zinc_1640816,C=CCOC(=O)OCCO,-2.021911577203632,True
zinc_335587792,C=C1CCN(C[C@@H](C)OC)CC1,-4.048274574095581,False
zinc_644664024,C=C(CC)CNC[C@@H](O)CCC(C)C,-4.016662453887054,True
zinc_595820199,C=C(C)CCN(CC)[C@@H](C)C#N,-4.026642789637865,False
zinc_49800130,C=CCN(CCO)CCCC,-3.892136167876248,True
zinc_660126521,CC(=CCCN(C)[C@H](C)CO)C,-4.247612290156429,True
zinc_53302853,C=CCCNCCOC,-3.953811589637025,True
zinc_379412396,C=C(C)CN(CCCC)CCOC,-4.038083355438881,False
zinc_308051915,C=C(CC)CN(C)C[C@@H](C)OC,-4.0603824642474775,False
zinc_594733986,C=C1CCN(CCOC(C)C)CC1,-4.084045077723651,False
zinc_661243892,C=CCCCN(CC=C)[C@@H](C)COC,-3.924958594815469,False
