solvent ID,smiles,EA_0-1,protic
zinc_116909085,CC(=O)N(C)[C@H](C)CO,-4.405582174093587,True
zinc_70236056,CC[C@H](C)NC(=O)COC,-4.261837900518502,True
zinc_379321797,CC(C)[C@@H](C)N(C)C(=O)[C@@H](C)O,-4.069886905696395,True
zinc_160496036,CO[C@@H](C)C(=O)N1CCCC1,-4.228023351295986,False
zinc_144783383,COC1CN(C(=O)C)C1,-4.277255038340754,False
181097,CN(C)P(=O)(N(C)C)SC,-3.205281881866554,False
zinc_11638226,CC(=O)N(C)CCO,-4.351165251813546,True
zinc_308373046,COCCN(C)C(=O)CCC(C)C,-4.344894563730325,False
zinc_379316214,CC(C)[C@@H](O)C(=O)N(C)C(C)C,-3.9218766383406978,True
zinc_44122828,CCCCN(C=O)CCO,-4.2814401492236485,True
zinc_388208170,CCCC[C@H](C)N(C)C(=O)COC,-4.196742441448555,False
zinc_5380285,COCCNC(=O)C(C)C,-4.714420816580916,True
zinc_666884099,COCCN(C)C(=O)CCCF,-4.251732091193189,False
zinc_162348656,CCCCN(C)C(=O)COC(C)C,-4.270639695336601,False
zinc_39422962,C[C@@H](O)CNC=O,-4.303179678754503,True
zinc_1761526,CC(C)(CO)NC=O,-4.192287604144604,True
zinc_1603669,CCCCN(C=S)CCCC,-3.155193730571519,False
zinc_5456369,CCCC(=O)NC(C)C,-4.446651450777717,True
23235623,CN[P@@](=O)(N)F,-4.207697790674581,True
zinc_306503578,CCNC(=O)[C@H](CC)OC,-4.388605925388719,True
zinc_379394837,CC(C)[C@@H](F)C(=O)N(C)[C@H](C)CO,-2.961969382384056,True
zinc_160971942,CO[C@H](C)C(=O)N[C@@H](C)CC(C)C,-4.305451836269757,True
zinc_33611208,CCN(CC)C(=O)[C@H](C)OC,-4.016646234200997,False
zinc_59132803,CCCC(=O)N[C@@H](C)COC,-4.395191523315753,True
zinc_1656255,O=CNCCO,-4.276737436269898,True
zinc_1712878,CNC(=O)CO,-4.186948551294477,True
zinc_388581823,CC(C)[C@H](O)C(=O)N(C)CC(F)F,-3.9810029554426247,True
zinc_1597363,CCCCN(C=O)CCCC,-4.150201579273577,False
zinc_77260160,CNC(=O)[C@H](O)C(C)C,-4.228814802073105,True
zinc_308291036,CC[C@@H](C)C(=O)N[C@@H](C)[C@H](C)OC,-4.232452215545004,True
zinc_44122832,CC(C)N(C=O)CCO,-4.2973565678755445,True
zinc_330225,C[C@H](O)C(=O)N(C)C,-4.012060884974127,True
zinc_308133453,CC(C)[C@H](F)C(=O)N(C)C[C@@H](C)O,-2.788085073579272,True
zinc_1698849,CCCC(=S)N1CCOCC1,-3.1643671772041664,False
zinc_388417813,CC(=O)N(C)C[C@@H](O)C(F)(F)F,-3.819127117101389,True
119044,CN(C)P(=O)(N1CC1)N1CC1,-3.731660315025626,False
zinc_70223308,COCC(=O)NCC(C)C,-4.191350095337235,True
zinc_234050296,CC[C@H](O)CNC(=O)C(F)F,-2.59811606010309,True
zinc_143510598,CC(C)CC(=S)NC(C)C,-3.330196847667233,True
zinc_39124582,COCC(=S)N1CCCCC1,-2.9335280497423835,False
zinc_308199724,CCOCCN(C)C(=O)CC(C)C,-4.31705734714855,False
zinc_60265290,COCC(=O)N1CCCC1,-4.243466839378911,False
zinc_70224931,CCC[C@@H](C)NC(=O)COC,-4.2918670383431,True
zinc_307672950,CC[C@@H](OC)C(=O)N1CCC1,-4.294114219688666,False
zinc_1712682,CC(C)NC(=O)[C@H](C)O,-4.243242673575633,True
zinc_379233726,CCCNC(=O)[C@H](CC)OC,-4.345317892229066,True
zinc_36757675,CC(C)N(C)C(=O)CO,-4.100497311916732,True
zinc_60316576,CO[C@H](C)CN(C)C(=O)C,-4.401028913989596,False
zinc_36757684,CCN(C)C(=O)CO,-4.098844601034602,True
zinc_307909308,CCC(=O)NC[C@@H](CC)OC,-4.424474393782927,True
zinc_34978167,NC(=S)CO,-3.052067411398365,True
zinc_224634048,CCCC(=O)NC[C@H](C)OC,-4.487299823833961,True
23273756,CCN(CC)P(=O)(N(C)C)N(C)C,-5.534223691193736,False
31374,CC(=O)N(C)C,-4.36250704456069,False
zinc_379387157,CCCCN(C)C(=O)[C@H](CC)OC,-4.133138089118561,False
zinc_5593217,CC[C@@H](C)C(=O)NCCOC,-4.403396368912586,True
zinc_160520877,CCCCN(C)C(=O)[C@@H](C)OC,-4.100701539895675,False
zinc_1641287,CCCCNC(=O)C,-4.386505475646004,True
zinc_39077727,O=CN1CCC[C@H]1CO,-4.216864555440625,True
zinc_306633526,CC[C@@H](CNC(=O)C)OC,-4.408476203109761,True
zinc_70226036,COCCN(CC(C)C)C(=O)C,-4.32603979482186,False
zinc_39077901,CC(=O)N(C)C[C@H](C)O,-4.002242234198248,True
zinc_70226617,CCC[C@@H](C)N(C)C(=O)COCC,-4.207598990671863,False
zinc_308452401,CCC(CC)C(=O)N(C)CCOC,-4.214006872538481,False
zinc_14589614,COCC(=O)NCCC(C)C,-4.329512451811963,True
zinc_5178903,O=CNCO,-4.088398878757661,True
71359551,CCN(C)P(=O)(N(C)CC)N(C)CC,-5.408812596892311,False
zinc_306761747,CO[C@@H](C)C(=O)N1CC[C@H]1C,-4.157680984456277,False
zinc_1334402875,COCC(=O)NCCCC(F)F,-4.295475946115266,True
