solvent ID,smiles,EA_values,protic
zinc_1345620175,C[C@H](N[C@@H]1CCCC[C@H]1F)[C@@H](C)O,-5.11874854093105,True
zinc_674912368,COC[C@H](C)N1C[C@@H]2CCC[C@H]2C1,-4.12937959378304,False
zinc_644654185,CC[C@@H](O)CNCC(C)(F)F,-4.70091560829222,True
zinc_132906027,CC[C@@H](NCCOCC(C)C)C1CC1,-4.30588887875401,True
zinc_156549661,C[C@H](O)CN1CCC[C@H]1C,-5.4319780310894,True
zinc_44415169,CC[C@@H](C)N(CCO)CCOC,-4.81556267564878,True
zinc_20282330,C[C@H]1CO[C@H](C)CN1,-4.39473292642404,True
zinc_308167491,C=C(CC)CN(C)CCOCC,-4.01479533056593,False
zinc_34301001,O[C@@H]1C[N@]2CC[C@@H]1C2,-4.75475700103566,True
zinc_83054080,CC[C@@H](N[C@H](C)COC)C1CC1,-5.56102238963633,True
zinc_44688411,CCOC[C@H](C)NCC(C)C,-5.62326399171023,True
zinc_379350015,CC(C)N(CCO)CCCCCF,-5.5410168849765,True
zinc_34759600,CCC(O)(CC)CNC,-5.39507101761635,True
zinc_307196786,CN(CC(F)F)[C@@H]1C[C@@H](O)C1,-4.78027946321426,True
zinc_146678857,C1CCN(CC2CCC2)CC1,-5.7963751709837,False
zinc_132407266,CCOC[C@H](C)NCCCCOC,-5.36963110881016,True
zinc_886336489,COC[C@H](C)N1C[C@H]2C[C@H]2C1,-5.88337761036436,False
zinc_38000088,C[C@H]1CCCN1CCO,-5.42080670673435,True
zinc_379354012,CCN(CCC(F)(F)F)[C@H](C)CO,-5.57384181761627,True
zinc_379413264,COC[C@@H](CC(C)C)NC1CCC1,-5.3927752310858,True
zinc_307177934,C[C@H](O)CN1CCC[C@@H]1C(F)F,-5.31460182590746,True
zinc_388591366,COC[C@H](C)NCC1(C(F)F)CC1,-5.21694477512824,True
zinc_308042007,CCN(C[C@@H](C)OC)[C@@H](C)C#N,-3.57445254093387,False
zinc_648539016,C=CCCCC[C@@H](C)NC[C@@H](C)OC,-4.02830463419711,True
zinc_388250681,OC[C@@H](NCC(F)F)C1CCCC1,-5.61029637720369,True
zinc_1473475099,C[C@H](O)CN(CC(F)F)C[C@H](C)O,-4.81592802279787,True
zinc_379329200,COC[C@@H](CC(C)C)NCCF,-5.46160275440244,True
zinc_205762812,COC1CN(CC(C)C)C1,-4.26720052849696,False
zinc_5599779,CN(CCO)C1CCCCC1,-5.65350142590741,True
zinc_388391071,C=C[C@H](CO)N[C@H](CC)CCC,-3.72602672124414,True
zinc_70623614,CC[C@H](COC)NC1CCCCC1,-5.6020858196889,True
zinc_1251972923,C[C@H](O)CN[C@@H](C1CC1)C(F)(F)F,-4.79855156269481,True
zinc_306213121,COCCN1CC[C@@H](S)C1,-3.85747970362555,False
