solvent ID,smiles,EA_0-1,protic
zinc_674912368,COC[C@H](C)N1C[C@@H]2CCC[C@H]2C1,-4.129379593783035,False
zinc_156549661,C[C@H](O)CN1CCC[C@H]1C,-5.431978031089398,True
zinc_20282330,C[C@H]1CO[C@H](C)CN1,-4.394732926424044,True
zinc_213379948,CC1(C)CO[C@@H](CO)C1,-5.7485232082895,True
zinc_34301001,O[C@@H]1C[N@]2CC[C@@H]1C2,-4.754757001035661,True
zinc_146678857,C1CCN(CC2CCC2)CC1,-5.796375170983696,False
zinc_886336489,COC[C@H](C)N1C[C@H]2C[C@H]2C1,-5.883377610364355,False
zinc_38000088,C[C@H]1CCCN1CCO,-5.420806706734346,True
zinc_2022783,C1O[C@@H]2OC[C@H]1O2,-5.970175202071254,False
zinc_307177934,C[C@H](O)CN1CCC[C@@H]1C(F)F,-5.31460182590746,True
71366347,C1[C@@H]2[C@@H](O1)CO2,-0.2799264766852429,False
643459,CO[C@@H]1CCCO1,-5.4126827170971055,False
zinc_72275950,C[C@H](O)[C@@H]1CCOC1,-4.439655726424231,True
zinc_205762812,COC1CN(CC(C)C)C1,-4.267200528496955,False
zinc_306213121,COCCN1CC[C@@H](S)C1,-3.8574797036255513,False
zinc_5133801,C1CCN(C2CCCC2)CC1,-5.363694540932448,False
zinc_70595520,C=CCCN1CC(O)C1,-4.064248138859016,True
zinc_394239,CCC[C@H]1OC(=O)[C@H](C)O1,-3.7033031792760815,False
zinc_69049532,OCC[C@H]1CCCO1,-5.442351896373328,True
zinc_1766635,CCCC[C@@H]1CO1,-4.545568949222986,False
zinc_160496036,CO[C@@H](C)C(=O)N1CCCC1,-4.228023351295986,False
zinc_308140885,CC(C)CC[C@@H](O)CN1C[C@H](F)C1,-4.865508675644759,True
zinc_886348261,CC[C@@H](CN1C[C@H]2C[C@H]2C1)OC,-5.92149096994534,False
zinc_649694064,C=CCCCN(C(C)C)C1COC1,-3.949796516064231,False
zinc_308161624,C[C@H]1CN(CCCCCF)CCO1,-4.574385517100819,False
14020437,C1C[C@H]2C[C@@H]1CO2,-5.489057380310376,False
zinc_649693846,CCCCN(C(C)C)C1COC1,-5.91765180725386,False
58056785,C1COCC1(F)F,-4.753781313987844,False
zinc_648606484,CC(C)CCCN(C(C)C)C1COC1,-5.467270889118849,False
zinc_675640242,COC[C@@H]1CCCN1CC1CC1,-5.454769334715636,False
zinc_967428,CCC[C@H]1CO1,-5.9917345367884565,False
zinc_15635672,C[C@@H](CO)N1CCCC[C@@H]1C,-4.765681042485353,True
zinc_221840510,C[C@@H]1CCN(CCF)C1,-4.362127956475713,False
zinc_306640259,CC(C)[C@@H]1CN(CCF)CCO1,-5.502170109848893,False
zinc_674868297,CC[C@@H]1CCN([C@@H](C)COC)C1,-5.353901701552116,False
zinc_586500,CCN(CC)C[C@H]1OC1(C)C,-5.390949653886498,False
zinc_336555741,CO[C@@H]1CCCN(CC2CC2)C1,-5.501806837304576,False
zinc_35359193,C[C@H]1CCCNCC1,-5.610836207254602,True
zinc_83428619,CN1CC(CCO)C1,-4.855633821763272,True
zinc_39437573,CC(=O)OCCC1OCCO1,-4.073539380309725,False
zinc_1565877,CCCC[N]1([O])CCOCC1,-5.890831177201131,False
zinc_141737567,CC(C)N1C[C@H](C)OC(C)(C)C1,-4.248058627977182,False
zinc_144783383,COC1CN(C(=O)C)C1,-4.277255038340754,False
zinc_335587792,C=C1CCN(C[C@@H](C)OC)CC1,-4.048274574095581,False
zinc_33426857,CCN1CC[C@@H](N)C1,-5.846763467357163,True
11115993,C[C@H]1CC(=O)OC1,-4.09737151917053,False
zinc_68604064,F[C@]12CC[N@](CC1)CC2,-5.390132364766517,False
zinc_85652280,CCCOC(=O)CC1OCCO1,-3.975594281863645,False
zinc_11892475,CC(C)N1CC[C@H](CO)C1,-4.862387651813646,True
zinc_39212281,CC1(O)CCOCC1,-4.872246366840299,True
zinc_88026816,O[C@H]1CCN(CCCF)C1,-4.798706835233406,True
zinc_115587859,COCCN1CCC1,-5.549974464249472,False
47519,CO[C@@H]1CCCO1,-5.4003447606203405,False
zinc_830217983,CCCCCCN(C(C)C)C1COC1,-5.552344559583551,False
zinc_648638722,CCC(CC)CN1CCOC[C@@H]1C,-5.515405106735321,False
zinc_649696352,FCCCN(C1CC1)C1COC1,-5.584327469428857,False
zinc_608746432,COC[C@H](C)N1CC[C@H](CC(C)C)C1,-5.49614937202484,False
zinc_70916129,OC[C@H]1CCCN1CCC(F)(F)F,-4.809945894299324,True
zinc_594733986,C=C1CCN(CCOC(C)C)CC1,-4.084045077723651,False
zinc_39274406,COC[C@@H]1OC1(C)C,-5.606475912951499,False
zinc_307297466,C[C@H]1[C@H](C)C[N@@]1C1CCCC1,-5.544160190671584,False
zinc_649733957,CCCCCN1C[C@@H](CC)OC[C@H]1C,-5.190112855959332,False
zinc_649694921,C=CCCCCN(C(C)C)C1COC1,-3.983482951293497,False
zinc_34925166,C[C@@H](CO)N1CCOCC1,-4.753786810364036,True
zinc_19517644,C[C@@H]1CCCCN1CC#N,-3.603773643523864,False
zinc_166821305,CCN1CCC(C2CC2)CC1,-5.720830998964229,False
zinc_34556904,CN1CCC(CCO)CC1,-5.183464884974832,True
zinc_639937133,C[C@@H]1CCN(CC(F)F)[C@H](CO)C1,-5.378869973056756,True
zinc_217876279,CCC[C@H]1C[C@@H](O)CN1C(C)C,-5.56319006217516,True
zinc_45328862,CCCNC1COC1,-4.376403734715862,True
zinc_656771491,C[C@H]1C[C@@H]1CN1C[C@H](OC(F)F)C1,-5.238541425906591,False
zinc_639248529,CC[C@H]1CN(C[C@@](C)(CC)OC)C1,-5.650123689120827,False
zinc_1682062,OCCN1CCCCCC1,-5.657045643522128,True
zinc_1681819,OCCN1CC1,-4.778371144038918,True
zinc_134174024,C[C@H]1CCC[C@@H](C)N1C[C@H]1CO1,-5.512821326426412,False
zinc_689895764,COC(CN1CC[C@@H](F)C1)OC,-5.699939500517249,False
zinc_138995782,C[C@@H]1[C@H](CO)CCN1C,-4.355095293263758,True
zinc_642722226,CCOCCN1C[C@H](C)[C@H](C)[C@@H]1C,-5.332168907771774,False
zinc_32213988,C1CC[C@H]2COC[C@H]2C1,-5.316379040413913,False
zinc_656657903,CCOC1CN(CCCC(C)C)C1,-4.429474207254028,False
zinc_34770970,CC(C)C(C(C)C)N1CCOCC1,-3.996111730569471,False
zinc_674467440,COCCCN1CC[C@H](OC)C1,-5.4043688601055,False
zinc_409424471,OCCN1CCC[C@@H](F)C1,-4.619386694299704,True
zinc_678182645,CCC(CC)CN1CCOC[C@H]1CC,-6.055953620726521,False
zinc_3733588,CC[C@@H]1NCC[C@H]1C,-5.712579461140052,True
zinc_930603256,CC[C@H](CO)N1CC[C@H](F)C1,-4.116864918134161,True
zinc_82764614,C[C@@H](CO)CC1CCOCC1,-4.814551423835012,True
zinc_307407944,C[C@@H]1CN(C[C@@H](O)CF)C[C@H]1C,-4.345631374093392,True
zinc_334953472,C=C(C)CN1CCCC[C@H]1[C@@H](C)O,-3.999216022798247,True
20147457,C1C[C@H]2[C@H]1CO2,-1.0299082238347306,False
zinc_669687654,CC(C)COCCN1CCCC[C@@H]1C,-5.390228928495888,False
zinc_307264647,COC(=O)CN1C[C@H](C)[C@H](C)[C@H]1C,-5.467474793782085,False
zinc_32228566,O[C@@H](CN1CCCC1)C(F)(F)F,-4.512172097409418,True
zinc_306468110,CC[C@H](F)CN1CC[C@H](O)C1,-5.105795556477823,True
67511,C1[C@@H]2[C@@H](O2)CO1,-4.320130169947734,False
zinc_307079957,C[C@@H]1CCN(C[C@@H](O)CF)C[C@@H]1C,-4.713292470465937,True
zinc_74647,O=C1O[C@H]2CCCC[C@@H]2O1,-5.71197022590511,False
zinc_3622806,OCCCN1CCCC1,-5.410333987563788,True
zinc_117630521,OCCN1CCC(F)(F)C1,-4.815571566838356,True
zinc_306427877,C[C@H]1CN(CCF)C[C@@H]1C,-5.703333537824172,False
zinc_21363208,C1CC1CN1C[C@H]2C[C@H]2C1,-5.4255264476695455,False
zinc_405092868,C[C@@H](O)[C@H](C)N1CCCC(F)(F)C1,-5.748743413470018,True
zinc_906530837,CCCCN1CC(OC(F)F)C1,-4.581311459066069,False
zinc_1692466,CN1CCCC1,-4.540422808289837,False
12708563,C[C@H]1CCC[C@@H](O1)C,-4.733753796892783,False
zinc_78456441,C[C@@H]1OC[C@@H]1O,-4.683451313989973,True
12607503,C=C1COCC1=C,-2.7408501595854675,False
157568,C1COC[C@@H]1C=O,-3.440884613470028,False
zinc_752087775,CO[C@@H]1CCN(CCOC(C)C)C1,-5.560289243523033,False
zinc_144147770,C[C@@H](CO)N1CC[C@@H](F)C1,-4.80632327254012,True
zinc_113073424,COCCN1CCC(C)(F)CC1,-5.364279069432563,False
zinc_403207,COC[C@H]1COC(=O)O1,-3.9522204974085353,False
zinc_79064795,OCCN1CCC1,-5.527844746113439,True
zinc_336555736,C[C@H]1COC[C@H](C)N1CC1CC1,-5.41974806217638,False
zinc_200174426,CC(C)[C@@H]1C[N@@](C2CCCC2)CCO1,-5.478896741968906,False
zinc_649694121,CC(C)N(CCCCF)C1COC1,-5.502542596892364,False
zinc_1320117573,CO[C@H](C)CN1C[C@H]2CC[C@@H]1CC2,-5.481108574091812,False
zinc_635906636,CC(C)OCCN1[C@H]2CC[C@@H]1CC2,-5.488151125387774,False
zinc_98214188,CCNC1(CC)COC1,-4.445809347148964,True
zinc_16941898,CNCC1CCN(C)CC1,-4.377949508807993,True
zinc_379363517,COC(CN1CCC(F)(F)C1)OC,-5.251866008290459,False
zinc_4759331,C=C[C@@H](O)CN1C[C@@H]1CC(C)C,-3.71209187979277,True
10219385,C1COC[C@@H]1C#N,-3.587832060103238,False
zinc_43199276,CC1(C)CCO[C@@H]1O,-4.610290223835113,True
zinc_308140091,CC.[C@H]1(C[C@@H]2CCC[N@@]2C1)C=O.C,-3.3096414362734423,True
13751610,C[C@H]1COC(=O)O[C@@H]1C,-4.44991489533509,False
zinc_307967747,C1CC(OCCN2CCCC2)C1,-5.266540381347207,False
zinc_379311644,C[C@@H]1COCCN1CCCCF,-5.502501778239296,False
zinc_639836947,CC[C@H](C)CN1CCO[C@@H](OC)C1,-5.57348342176252,False
zinc_307759536,C[C@@H]1CN(CCC(F)(F)F)C[C@H]1O,-4.777545933676482,True
zinc_38171511,CC(C)C(C)(C)[C@]1(C)O[C@H]1C,-5.588397479793283,False
zinc_85350969,COC(CN1CCO[C@H](C)C1)OC,-5.57070379274643,False
zinc_336255736,OCCN1CCC(CF)CC1,-4.463047347150055,True
zinc_307418565,OCCN1CCC[C@@H]1C(F)F,-5.438845883934115,True
zinc_307701902,CC[C@@H]1CN(CCF)C[C@H](C)O1,-5.48976169740976,False
zinc_656771516,CC1(CN2CC(OC(F)F)C2)CC1,-5.135248356473496,False
zinc_169154087,CCCOC[C@H]1COC(=O)O1,-5.384438634196318,False
zinc_14193624,COC(=O)CN1CCC(C)CC1,-4.0011501533660745,False
zinc_335382730,CC[C@@H](C)CN1CC2(CC2)C1,-5.608244209325656,False
zinc_1724633,CCC[C@H]1CCO1,-4.785597796891977,False
zinc_306326885,C[C@@H]1CCCN(CC(F)F)[C@@H]1CO,-4.798466584454609,True
zinc_307584089,CC(C)[C@H](O)CN1[C@@H](C)C[C@@H]1C,-5.391178507772108,True
zinc_16083064,NC1COC1,-4.390599007254846,True
zinc_238171699,CC1(C)OCC[C@H]1CO,-5.56560911295265,True
zinc_1580699,CC(C)(C)N1CCC1,-5.654473152330931,False
zinc_124813132,OC[C@H]1CCCCCN1CCF,-5.436352847668805,True
zinc_35881834,C[C@@H](O)[C@H]1CO1,-4.770610265285079,True
zinc_335425962,CC(C)N[C@H]1CO[C@@H](C)C1,-5.360847958550505,True
zinc_1880633616,C[C@@H](N1CC[C@@H](O)C1)C(F)(F)F,-4.995774198964229,True
zinc_307040834,C[C@H]1[C@H](O)CCCN1CC(F)F,-4.569760615545579,True
zinc_20254956,CCCCN1CCOCC1,-5.5849928538855,False
zinc_528769623,COCCN1CCC(F)(F)C[C@H]1C,-4.784314016577489,False
zinc_307614593,O[C@H](CF)CN1CCCCCC1,-5.500952393784363,True
zinc_34925163,C[C@H](CO)N1CCCC1,-5.099001904662687,True
zinc_20230620,CCN1CCOCC1,-5.636318147150057,False
zinc_19506268,N#CCN1CCCCC1,-3.55165644145135,False
zinc_391249,CN1CCC[C@@H]1CO,-4.783947591710398,True
zinc_388284316,CCCCCN1CCO[C@@H](C)[C@H]1C,-5.891770572018827,False
zinc_217875246,CC[C@H]1C[C@@H](O)CN1CCF,-4.850494820726033,True
zinc_12403768,OCCCCN1CCCC1,-5.427835032123927,True
zinc_306527589,COC[C@@H](C)N1CC[C@@](C)(F)C1,-3.3627790238337827,False
zinc_10152100,CC1CCN(CCO)CC1,-4.844418903627399,True
zinc_1867172,CC[C@@]1(C)O[C@H](C)[C@@H](C)O1,-4.90179532642607,False
zinc_902992119,CC[C@H](CO)N1CCC[C@@H](F)C1,-4.680553081863494,True
zinc_689387500,CC(C)[C@H](O)CN1CC[C@H](F)CC1,-5.418289394819263,True
zinc_82764620,C[C@@H](CO)C[C@H]1CCOC1,-4.2867104435226935,True
zinc_167356824,COCCN1CCC[C@H]1COC,-4.499112715023659,False
zinc_168617252,CO[C@@]1(C)CCCN(C(C)C)C1,-5.87813272331546,False
zinc_306427419,COC[C@@H](C)N1CCCCCCC1,-5.749810545078287,False
zinc_650187084,C=CCN1CC[C@@H](O)[C@H]1C,-3.7071434466328768,True
zinc_1648979,CN1CC[C@@H](CO)C1,-4.778467465285337,True
zinc_934025980,OC[C@@H]1CCN1CCCF,-4.892353796890554,True
zinc_306456240,C[C@@H]1CN(CC2CC2)CCO1,-5.613641566841141,False
zinc_306691824,C[C@@H]1C[C@H](O)CN(CCF)C1,-4.357450138860428,True
