solvent ID,smiles,EA_0-1,protic
zinc_2022783,C1O[C@@H]2OC[C@H]1O2,-5.970175202071254,False
zinc_1693578,CC(C)CCOC=O,-3.8728529782382473,False
zinc_394239,CCC[C@H]1OC(=O)[C@H](C)O1,-3.7033031792760815,False
zinc_2572624,COCCOC(=O)OC,-4.349040283938108,False
zinc_50065625,CCCCN(CCC)CC(=O)OC,-3.962389056992461,False
zinc_51690513,CC[C@@H](C)C(=N)OC,-4.28391079585564,True
zinc_39437573,CC(=O)OCCC1OCCO1,-4.073539380309725,False
zinc_1640816,C=CCOC(=O)OCCO,-2.021911577203632,True
11115993,C[C@H]1CC(=O)OC1,-4.09737151917053,False
zinc_85652280,CCCOC(=O)CC1OCCO1,-3.975594281863645,False
zinc_49900374,CCCCCCN(C)CC(=O)OC,-4.001642994821256,False
zinc_5514220,CCCCOCO,-5.692416770985523,True
zinc_61479390,COC(=O)CN(C)CC1CCC1,-4.008645374095562,False
zinc_307264647,COC(=O)CN1C[C@H](C)[C@H](C)[C@H]1C,-5.467474793782085,False
zinc_74647,O=C1O[C@H]2CCCC[C@@H]2O1,-5.71197022590511,False
zinc_1083805660,CCCOC(=O)OCCF,-5.883422982380028,False
zinc_1640813,C=CCOC(=O)OCCCO,-2.047619973056559,True
zinc_403207,COC[C@H]1COC(=O)O1,-3.9522204974085353,False
zinc_396963595,CC[C@H](CN(C)CC(=O)OC)OC,-3.928926383419544,False
zinc_37472532,CCOC(=O)CN[C@H](C)[C@H](C)CC,-3.968172965803008,True
zinc_43199276,CC1(C)CCO[C@@H]1O,-4.610290223835113,True
13751610,C[C@H]1COC(=O)O[C@@H]1C,-4.44991489533509,False
zinc_70595425,C=CCCCN(CC(=O)OC)C(C)C,-3.998752710883017,False
zinc_22002280,COC(=O)OCC(=O)O,-3.798770113991581,False
zinc_20037678,COC(=O)CNCC1CC1,-3.9193687564787822,True
zinc_169154087,CCCOC[C@H]1COC(=O)O1,-5.384438634196318,False
zinc_14193624,COC(=O)CN1CCC(C)CC1,-4.0011501533660745,False
zinc_44481383,COC(=O)[C@H](C)NC1CCC1,-3.999852766838492,True
zinc_35207524,CCOC(=O)CN(C)[C@H](C)C1CC1,-3.971530683938621,False
