solvent ID,smiles,EA_0-1,protic
zinc_674912368,COC[C@H](C)N1C[C@@H]2CCC[C@H]2C1,-4.129379593783035,False
zinc_132906027,CC[C@@H](NCCOCC(C)C)C1CC1,-4.305888878754007,True
zinc_44415169,CC[C@@H](C)N(CCO)CCOC,-4.815562675648782,True
zinc_20282330,C[C@H]1CO[C@H](C)CN1,-4.394732926424044,True
zinc_308167491,C=C(CC)CN(C)CCOCC,-4.014795330565926,False
zinc_213379948,CC1(C)CO[C@@H](CO)C1,-5.7485232082895,True
zinc_307146552,CCO[C@H](CO)C1CC1,-4.801062516063593,True
zinc_83054080,CC[C@@H](N[C@H](C)COC)C1CC1,-5.561022389636326,True
zinc_44688411,CCOC[C@H](C)NCC(C)C,-5.623263991710225,True
zinc_70236056,CC[C@H](C)NC(=O)COC,-4.261837900518502,True
zinc_132407266,CCOC[C@H](C)NCCCCOC,-5.369631108810156,True
zinc_886336489,COC[C@H](C)N1C[C@H]2C[C@H]2C1,-5.883377610364355,False
zinc_233714974,CCO[C@H]1C[C@H](CO)C1,-5.432316111916138,True
zinc_379413264,COC[C@@H](CC(C)C)NC1CCC1,-5.392775231085796,True
zinc_388591366,COC[C@H](C)NCC1(C(F)F)CC1,-5.216944775128241,True
zinc_308042007,CCN(C[C@@H](C)OC)[C@@H](C)C#N,-3.574452540933865,False
zinc_62462863,OCCCOCC1CC1,-4.424967585493471,True
zinc_648539016,C=CCCCC[C@@H](C)NC[C@@H](C)OC,-4.028304634197114,True
71366347,C1[C@@H]2[C@@H](O1)CO2,-0.2799264766852429,False
zinc_379329200,COC[C@@H](CC(C)C)NCCF,-5.461602754402435,True
zinc_72275950,C[C@H](O)[C@@H]1CCOC1,-4.439655726424231,True
zinc_205762812,COC1CN(CC(C)C)C1,-4.267200528496955,False
zinc_70623614,CC[C@H](COC)NC1CCCCC1,-5.6020858196889,True
zinc_306213121,COCCN1CC[C@@H](S)C1,-3.8574797036255513,False
zinc_658193628,CCOC[C@@H](C)NCCC(C)(C)F,-5.531750943008124,True
zinc_87477039,CCCCN[C@H](COC)C1CC1,-4.406835158551084,True
zinc_1720743,CNCCOC,-4.34102099481905,True
zinc_69049532,OCC[C@H]1CCCO1,-5.442351896373328,True
zinc_2572624,COCCOC(=O)OC,-4.349040283938108,False
zinc_1766635,CCCC[C@@H]1CO1,-4.545568949222986,False
zinc_44657646,CC[C@H](NCCCCOC)C(C)C,-5.480738161659241,True
zinc_160496036,CO[C@@H](C)C(=O)N1CCCC1,-4.228023351295986,False
zinc_1718828,COCCNCCOC,-4.367522269430116,True
zinc_42250634,C#CCN(CCOC)CC(C)C,-3.680827324351125,False
zinc_19428698,COCCCC#N,-3.694860858031268,False
zinc_886348261,CC[C@@H](CN1C[C@H]2C[C@H]2C1)OC,-5.92149096994534,False
