solvent ID,smiles,EA_0-1,protic
zinc_1345620175,C[C@H](N[C@@H]1CCCC[C@H]1F)[C@@H](C)O,-5.11874854093105,True
zinc_644654185,CC[C@@H](O)CNCC(C)(F)F,-4.700915608292215,True
zinc_379350015,CC(C)N(CCO)CCCCCF,-5.541016884976501,True
zinc_307196786,CN(CC(F)F)[C@@H]1C[C@@H](O)C1,-4.780279463214262,True
zinc_307177934,C[C@H](O)CN1CCC[C@@H]1C(F)F,-5.31460182590746,True
zinc_388591366,COC[C@H](C)NCC1(C(F)F)CC1,-5.216944775128241,True
zinc_388250681,OC[C@@H](NCC(F)F)C1CCCC1,-5.610296377203686,True
zinc_1473475099,C[C@H](O)CN(CC(F)F)C[C@H](C)O,-4.815928022797874,True
zinc_379329200,COC[C@@H](CC(C)C)NCCF,-5.461602754402435,True
zinc_658193628,CCOC[C@@H](C)NCCC(C)(C)F,-5.531750943008124,True
zinc_307942072,C[C@H](O)CN[C@H]1C[C@H](C(F)F)C1,-4.257989496374426,True
zinc_308140885,CC(C)CC[C@@H](O)CN1C[C@H](F)C1,-4.865508675644759,True
zinc_307563756,CN(CC#N)CCCCF,-3.546185233160116,False
zinc_308189007,COCC(C)(C)NCCCCCF,-4.376475322278608,True
zinc_306478280,C[C@H](O)CNCCC(F)F,-4.290687635234151,True
zinc_308132696,CN(CCCCF)CC(C)(C)O,-5.622080412433691,True
zinc_663464855,CC[C@H](NCCOCCF)C(C)C,-5.323368783422241,True
zinc_308161624,C[C@H]1CN(CCCCCF)CCO1,-4.574385517100819,False
58056785,C1COCC1(F)F,-4.753781313987844,False
zinc_652019930,CC[C@H](C)[C@@H](C)N[C@@H](CO)CCF,-5.362187322281912,True
zinc_221840510,C[C@@H]1CCN(CCF)C1,-4.362127956475713,False
zinc_306640259,CC(C)[C@@H]1CN(CCF)CCO1,-5.502170109848893,False
zinc_308135205,COC[C@H](NCCCCF)C1CC1,-4.212705875649627,True
zinc_68604064,F[C@]12CC[N@](CC1)CC2,-5.390132364766517,False
zinc_88026816,O[C@H]1CCN(CCCF)C1,-4.798706835233406,True
zinc_663462507,CC[C@@H](NCCOCCF)C1CC1,-5.387544219690982,True
zinc_74942206,N[C@@H](CO)CF,-4.76662334715053,True
zinc_698558351,CCC[C@H](C)NC[C@@](C)(O)C(F)F,-4.1064901367854905,True
zinc_649696352,FCCCN(C1CC1)C1COC1,-5.584327469428857,False
zinc_688757893,C[C@H](NCCCC(F)F)[C@@H](C)O,-5.408354916063811,True
zinc_308304690,C[C@@H]1C[C@H](N[C@@H](CO)CC(F)F)C1,-4.627116615546357,True
zinc_1326527097,CC(C)CCN[C@@H](CO)CCF,-4.181598963730462,True
zinc_157225368,CN(CCO)CC(F)(F)C(F)F,-4.754830124351838,True
zinc_307554630,CN(CCCF)C1CCC1,-5.328340279792649,False
zinc_307979536,CO[C@H](C)CN(C)CCCCF,-4.205538093263644,False
zinc_393545587,CCN(CCCCCF)[C@H](C)CO,-5.582604922279176,True
zinc_639937133,C[C@@H]1CCN(CC(F)F)[C@H](CO)C1,-5.378869973056756,True
zinc_379319955,C[C@H](C1CC1)N(CCF)C1CC1,-4.014174833160586,False
zinc_689895764,COC(CN1CC[C@@H](F)C1)OC,-5.699939500517249,False
zinc_53302809,COCCNCCC(F)F,-4.297088026941838,True
zinc_87689934,CN(CCF)CC(C)(C)O,-5.754343274611971,True
zinc_50103713,CC(C)N(CCO)CC(F)F,-4.818637734713657,True
zinc_697609987,C[C@H](O)[C@@H](C)NCC(C)(F)F,-4.785907318132011,True
