solvent ID,smiles,EA_0-1,protic
zinc_308042007,CCN(C[C@@H](C)OC)[C@@H](C)C#N,-3.574452540933865,False
zinc_19428698,COCCCC#N,-3.694860858031268,False
zinc_307563756,CN(CC#N)CCCCF,-3.546185233160116,False
zinc_60189668,N#CC#N,-1.896383765802911,False
zinc_595820199,C=C(C)CCN(CC)[C@@H](C)C#N,-4.026642789637865,False
zinc_19517644,C[C@@H]1CCCCN1CC#N,-3.603773643523864,False
zinc_20037499,N#CCNCC1CC1,-3.5376115108795507,True
zinc_42459214,COCCN(C)C[C@H](C)C#N,-3.64336676684012,False
10219385,C1COC[C@@H]1C#N,-3.587832060103238,False
zinc_35733624,C[C@H](NCC#N)C1CC1,-3.6392390984448126,True
zinc_887098991,N#CCN(CC(F)F)C1CCC1,-3.619227558549796,False
zinc_20036817,CC(C)CNCC#N,-3.5482062010357547,True
zinc_591374091,CO[C@H](CC(C)C)CN(C)CC#N,-3.5661436953372343,False
zinc_388740495,CN(CC#N)CCCCC(F)(F)F,-3.5415310715013164,False
zinc_19506268,N#CCN1CCCCC1,-3.55165644145135,False
zinc_43522169,CCN(CCOC)[C@@H](C)C#N,-3.5206999523321247,False
zinc_379190229,CCCC[C@@H](C)N(C)CC#N,-3.633748706737662,False
zinc_591010788,CCN(CC)[C@@H](C)CCC#N,-3.698904652848621,False
zinc_164062452,CO[C@H](C)CN(C)CCC#N,-3.7230378797922574,False
zinc_45059800,CCCCCCN(C)CC#N,-3.566720033160033,False
zinc_397113056,CC[C@H](CN(C)CC#N)OC,-3.554612412435339,False
zinc_307734535,CO[C@@H](C)[C@@H](C)N[C@@H](C)C#N,-3.592389200000296,True
zinc_86453471,CCC(CC)N(CC#N)CC(C)C,-3.6420965119166913,False
zinc_397108543,CC[C@H](CN(C)[C@H](C)CC#N)OC,-3.761700661139775,False
zinc_1672465,CCCCNCCC#N,-3.675415309844204,True
zinc_308544418,CC(C)[C@H](C)N(C)CCO[C@H](C)C#N,-3.466616746112197,False
zinc_43522327,CC(C)CN(C1CC1)[C@H](C)C#N,-3.613150240414393,False
zinc_19477789,CC(C)OCCCC#N,-3.692295533678702,False
zinc_1692453,CCCCOCCC#N,-3.632260429015497,False
zinc_62498374,COCC1(C#N)CC1,-3.570541332642674,False
zinc_336276158,N#CCN1CCC(CF)CC1,-3.5382613761669885,False
zinc_42338085,COC[C@H](C)N(C)CC#N,-3.6408398362697634,False
zinc_84902599,COC[C@@H](NCC#N)C(C)C,-3.569196472538139,True
zinc_695780364,CO[C@H](C)CN(C)[C@@H](C)CCC#N,-3.712031689121681,False
zinc_595820609,CCN(CCCC(C)C)[C@H](C)C#N,-3.680827405179285,False
zinc_160648278,CO[C@H](C)CN(CC#N)C(C)C,-3.7565621181349074,False
zinc_224171259,CO[C@@H](C)CN[C@@H](C)CC#N,-3.6971826176167513,True
zinc_19439148,C[C@@H]1CCCN(CC#N)C1,-3.6149998507774495,False
zinc_108279733,N#CCN1CCC1,-3.5537555709839257,False
