solvent ID,smiles,EA_0-1
zinc_1345620175,C[C@H](N[C@@H]1CCCC[C@H]1F)[C@@H](C)O,-5.11874854093105
zinc_674912368,COC[C@H](C)N1C[C@@H]2CCC[C@H]2C1,-4.129379593783035
zinc_644654185,CC[C@@H](O)CNCC(C)(F)F,-4.700915608292215
zinc_132906027,CC[C@@H](NCCOCC(C)C)C1CC1,-4.305888878754007
zinc_156549661,C[C@H](O)CN1CCC[C@H]1C,-5.431978031089398
zinc_44415169,CC[C@@H](C)N(CCO)CCOC,-4.815562675648782
zinc_20282330,C[C@H]1CO[C@H](C)CN1,-4.394732926424044
zinc_308167491,C=C(CC)CN(C)CCOCC,-4.014795330565926
zinc_213379948,CC1(C)CO[C@@H](CO)C1,-5.7485232082895
zinc_34301001,O[C@@H]1C[N@]2CC[C@@H]1C2,-4.754757001035661
zinc_307146552,CCO[C@H](CO)C1CC1,-4.801062516063593
zinc_83054080,CC[C@@H](N[C@H](C)COC)C1CC1,-5.561022389636326
zinc_44688411,CCOC[C@H](C)NCC(C)C,-5.623263991710225
zinc_116909085,CC(=O)N(C)[C@H](C)CO,-4.405582174093587
zinc_379350015,CC(C)N(CCO)CCCCCF,-5.541016884976501
zinc_70236056,CC[C@H](C)NC(=O)COC,-4.261837900518502
zinc_34759600,CCC(O)(CC)CNC,-5.395071017616347
zinc_307196786,CN(CC(F)F)[C@@H]1C[C@@H](O)C1,-4.780279463214262
zinc_146678857,C1CCN(CC2CCC2)CC1,-5.796375170983696
zinc_132407266,CCOC[C@H](C)NCCCCOC,-5.369631108810156
zinc_886336489,COC[C@H](C)N1C[C@H]2C[C@H]2C1,-5.883377610364355
zinc_233714974,CCO[C@H]1C[C@H](CO)C1,-5.432316111916138
zinc_38000088,C[C@H]1CCCN1CCO,-5.420806706734346
zinc_379354012,CCN(CCC(F)(F)F)[C@H](C)CO,-5.573841817616273
zinc_2022783,C1O[C@@H]2OC[C@H]1O2,-5.970175202071254
zinc_379413264,COC[C@@H](CC(C)C)NC1CCC1,-5.392775231085796
zinc_307177934,C[C@H](O)CN1CCC[C@@H]1C(F)F,-5.31460182590746
21590583,CN(C)P(=O)(C#C)N(C)C,-2.9472189761651806
zinc_1693578,CC(C)CCOC=O,-3.8728529782382473
zinc_388591366,COC[C@H](C)NCC1(C(F)F)CC1,-5.216944775128241
zinc_308042007,CCN(C[C@@H](C)OC)[C@@H](C)C#N,-3.574452540933865
zinc_62462863,OCCCOCC1CC1,-4.424967585493471
zinc_648539016,C=CCCCC[C@@H](C)NC[C@@H](C)OC,-4.028304634197114
zinc_379321797,CC(C)[C@@H](C)N(C)C(=O)[C@@H](C)O,-4.069886905696395
zinc_388250681,OC[C@@H](NCC(F)F)C1CCCC1,-5.610296377203686
