iter	RMSE
0	0.6762573596
1	0.6605798489
2	0.6459840086
3	0.6324426435
4	0.620005605
5	0.6079337103
6	0.5969129145
7	0.5865414872
8	0.5770050669
9	0.5678402994
10	0.5594283277
11	0.5516542946
12	0.5443106912
13	0.5374821026
14	0.5308750225
15	0.5251585802
16	0.5195120539
17	0.5144803006
18	0.5097838496
19	0.5052072088
20	0.5008478881
21	0.4967348227
22	0.4930290822
23	0.4897179181
24	0.4865693157
25	0.4837764217
26	0.4810017748
27	0.4784125422
28	0.476129943
29	0.4737706736
30	0.4714916957
31	0.4695732765
32	0.467674149
33	0.4659956167
34	0.4643180708
35	0.4625588872
36	0.4610671528
37	0.459822523
38	0.4585099798
39	0.4574389051
40	0.4562660791
41	0.4550927027
42	0.4541917365
43	0.4531774041
44	0.452244168
45	0.4514581283
46	0.4506335344
47	0.4497282091
48	0.4489593848
49	0.4482035607
50	0.4473826852
51	0.4465355079
52	0.4458402206
53	0.4451852725
54	0.4445007687
55	0.4439125212
56	0.4430975942
57	0.4425179825
58	0.4419601461
59	0.4415306613
60	0.4408018815
61	0.4402697398
62	0.4398521963
63	0.4392386266
64	0.4387408407
65	0.4381811127
66	0.4377037226
67	0.4372457119
68	0.4368149752
69	0.4363982909
70	0.4358293682
71	0.4354139119
72	0.4349678926
73	0.4345181828
74	0.4342334645
75	0.4338021923
76	0.4333560812
77	0.4329761087
78	0.4326328125
79	0.432180981
80	0.4317403958
81	0.4312818562
82	0.4306465535
83	0.4303431079
84	0.4299417989
85	0.4295826884
86	0.4292102951
87	0.428863674
88	0.4285628962
89	0.4280989471
90	0.4276777092
91	0.4273947425
92	0.427006051
93	0.4266462639
94	0.4263163446
95	0.4259146803
96	0.4254904038
97	0.4250966352
98	0.4246947265
99	0.4243722634
100	0.424069399
101	0.4236295553
102	0.4230817473
103	0.4225951454
104	0.4221551377
105	0.421830102
106	0.4214840139
107	0.4210955106
108	0.4206909979
109	0.4203492143
110	0.4199422389
111	0.4195936734
112	0.4193089348
113	0.4189399155
114	0.4185051162
115	0.4180904064
116	0.41782472
117	0.4174938572
118	0.4171487519
119	0.4168372053
120	0.4165555849
121	0.4163372449
122	0.4159351632
123	0.4155746664
124	0.4153071461
125	0.4150036497
126	0.4146932207
127	0.4144085529
128	0.4141384951
129	0.413885955
130	0.4135168134
131	0.4130996099
132	0.4129046116
133	0.4126371835
