iter	Passed	Remaining
0	1	875
1	3	793
2	5	746
3	6	717
4	8	697
5	9	688
6	10	677
7	12	666
8	13	659
9	15	655
10	16	649
11	18	644
12	19	639
13	20	636
14	22	633
15	23	631
16	25	628
17	26	626
18	28	624
19	29	621
20	31	619
21	32	618
22	34	616
23	35	615
24	37	614
25	38	612
26	39	609
27	41	609
28	42	607
29	44	606
30	45	605
31	47	605
32	49	605
33	50	606
34	52	607
35	54	610
36	56	610
37	57	609
38	59	610
39	60	609
40	62	609
41	64	609
42	65	608
43	67	608
44	69	607
45	70	605
46	72	604
47	73	602
48	75	600
49	76	599
50	78	597
51	79	596
52	81	595
53	83	594
54	84	592
55	86	591
56	87	590
57	89	589
58	91	588
59	92	586
60	94	585
61	95	584
62	97	583
63	99	582
64	100	581
65	102	579
66	103	578
67	105	577
68	107	577
69	108	575
70	110	574
71	112	572
72	113	571
73	115	570
74	116	568
75	118	567
76	120	566
77	121	564
78	123	563
79	124	561
80	126	560
81	127	558
82	129	557
83	131	555
84	132	554
85	134	553
86	136	551
87	137	550
88	139	549
89	140	547
90	142	545
91	143	544
92	145	542
93	147	541
94	148	540
95	150	539
96	152	538
97	153	536
98	155	535
99	157	533
100	158	532
101	160	530
102	161	529
103	163	527
104	164	526
105	166	525
106	168	523
107	169	522
108	171	520
109	173	519
110	174	517
111	176	516
112	177	514
113	179	513
114	181	511
115	182	510
116	184	508
117	185	507
118	187	505
119	189	504
120	190	502
121	192	501
122	194	500
123	195	498
124	197	496
125	198	495
126	200	493
127	201	492
128	203	491
129	205	489
130	206	488
131	208	486
132	210	484
133	211	483
134	213	481
135	214	480
136	216	478
137	218	477
138	219	475
139	221	474
140	223	472
141	224	471
142	226	469
143	227	468
144	229	466
145	231	465
146	232	464
147	234	463
148	236	462
149	238	460
150	239	459
151	241	457
152	243	456
153	244	454
154	246	453
155	248	451
156	249	450
157	251	448
158	253	447
159	254	446
160	256	444
161	258	443
162	260	442
163	261	440
164	263	438
165	264	437
166	266	435
167	268	434
168	269	432
169	271	431
170	272	429
171	274	427
172	276	426
173	277	424
174	279	422
175	280	421
176	282	419
177	284	418
178	285	416
179	287	414
180	288	413
181	290	411
182	292	410
183	293	408
184	295	407
185	296	405
186	298	403
187	300	402
188	301	400
189	303	399
190	305	397
191	306	396
192	308	394
193	309	393
194	311	391
195	313	389
196	314	388
197	316	386
198	317	384
199	319	383
200	320	381
201	322	379
202	323	378
203	325	376
204	327	375
205	328	373
206	330	371
207	332	370
208	333	368
209	335	367
210	336	365
211	338	364
212	340	362
213	342	361
214	343	359
215	345	358
216	346	356
217	348	354
218	350	353
219	351	351
220	353	350
221	355	348
222	356	347
223	358	345
224	359	343
225	361	342
226	363	340
227	364	339
228	366	337
229	367	335
230	369	334
231	371	332
232	372	331
233	374	329
234	375	327
235	377	326
236	378	324
237	380	322
238	382	321
239	383	319
240	385	318
241	387	317
242	389	315
243	390	313
244	392	312
245	393	310
246	395	308
247	396	307
248	398	305
249	400	304
250	401	302
251	403	300
252	405	299
253	406	297
254	408	296
255	409	294
256	411	293
257	413	291
258	414	289
259	416	288
260	417	286
261	419	285
262	421	283
263	423	282
264	424	280
265	426	278
266	427	277
267	429	275
268	431	274
269	432	272
270	434	270
271	435	269
272	437	267
273	439	265
274	440	264
275	442	262
276	443	261
277	445	259
278	447	258
279	448	256
280	450	254
281	451	253
282	453	251
283	455	250
284	456	248
285	458	246
286	459	245
287	461	243
288	463	242
289	464	240
290	466	238
291	467	237
292	469	235
293	471	233
294	472	232
295	474	230
296	475	229
297	477	227
298	479	225
299	480	224
300	482	222
301	484	221
302	485	219
303	487	218
304	488	216
305	490	214
306	492	213
307	493	211
308	495	210
309	496	208
310	498	206
311	500	205
312	501	203
313	503	201
314	504	200
315	506	198
316	508	197
317	509	195
318	511	193
319	512	192
320	514	190
321	516	189
322	517	187
323	519	185
324	520	184
325	522	182
326	524	181
327	526	179
328	527	178
329	529	176
330	530	174
331	532	173
332	534	171
333	535	169
334	537	168
335	539	166
336	541	165
337	542	163
338	544	162
339	546	160
340	547	159
341	549	157
342	551	155
343	553	154
344	554	152
345	556	151
346	558	149
347	559	148
348	561	146
349	563	144
350	564	143
351	566	141
352	568	140
353	569	138
354	571	136
355	573	135
356	574	133
357	576	132
358	577	130
359	579	128
360	581	127
361	582	125
362	584	123
363	586	122
364	587	120
365	589	119
366	590	117
367	592	115
368	594	114
369	595	112
370	597	111
371	598	109
372	600	107
373	602	106
374	603	104
375	605	103
376	607	101
377	608	99
378	610	98
379	611	96
380	613	95
381	615	93
382	616	91
383	618	90
384	620	88
385	621	87
386	623	85
387	625	83
388	626	82
389	628	80
390	629	78
391	631	77
392	633	75
393	634	74
394	636	72
395	638	70
396	639	69
397	641	67
398	643	66
399	644	64
400	646	62
401	647	61
402	649	59
403	651	58
404	652	56
405	654	54
406	655	53
407	657	51
408	659	49
409	660	48
410	662	46
411	664	45
412	665	43
413	667	41
414	668	40
415	670	38
416	672	37
417	673	35
418	675	33
419	676	32
420	678	30
421	680	29
422	681	27
423	683	25
424	685	24
425	686	22
426	688	20
427	689	19
428	691	17
429	693	16
430	694	14
431	696	12
432	697	11
433	699	9
434	701	8
435	702	6
436	704	4
437	705	3
438	707	1
439	709	0
